MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area,Blk.QC,Rep,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
Glutamylphenylalanine_Pos,"L-Isoleucine, 15N",0.18545219580619432,0.06785662526341445,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,239709,223132.0300420612,ok,210322_Smp_PPL_PS_A,514553,-2.1,0.4658587162061051,SNFlag,NA,NA
Glutamylphenylalanine_Pos,"L-Isoleucine, 15N",0.18545219580619432,0.06785662526341445,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,118284,99371.018502877,ok,210322_Smp_PPL_PS_B,543308,-2.8,0.21771076442828008,SNFlag,NA,NA
Glutamylphenylalanine_Pos,"L-Isoleucine, 15N",0.18545219580619432,0.06785662526341445,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,484032,395915.6086888109,ok,210322_Smp_PPL_PS_C,243483,-1.8,1.987949877404172,NA,NA,NA
Gonyol_Pos,Inj_vol,0.05296453036404004,0.05296453036404004,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,114437,114437,ok,210322_Smp_PPL_Aloha_A,0,-1.8,Inf,NA,NA,NA
Gonyol_Pos,Inj_vol,0.05296453036404004,0.05296453036404004,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,66874,66874,ok,210322_Smp_PPL_Aloha_B,0,-1.4,Inf,NA,NA,NA
Gonyol_Pos,Inj_vol,0.05296453036404004,0.05296453036404004,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,114248,114248,ok,210322_Smp_PPL_Aloha_C,0,-2.3,Inf,NA,NA,NA
Gonyol_Pos,Inj_vol,0.05296453036404004,0.05296453036404004,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,53701,53701,ok,210322_Smp_PPL_PS_A,0,-2.6,Inf,NA,NA,NA
Gonyol_Pos,Inj_vol,0.05296453036404004,0.05296453036404004,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,98529,98529,ok,210322_Smp_PPL_PS_B,0,-2.7,Inf,NA,NA,NA
Gonyol_Pos,Inj_vol,0.05296453036404004,0.05296453036404004,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,94296,94296,ok,210322_Smp_PPL_PS_C,0,-2.4,Inf,NA,NA,NA
Guanine_Pos,"Thymine, D4",0.10145375231931196,0.07245929780985089,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,676170,612507.7033107221,ok,210322_Smp_PPL_Aloha_A,0,-2.9,Inf,NA,NA,NA
Guanine_Pos,"Thymine, D4",0.10145375231931196,0.07245929780985089,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,530929,476849.03929101565,ok,210322_Smp_PPL_Aloha_B,0,-2.7,Inf,NA,NA,NA
Guanine_Pos,"Thymine, D4",0.10145375231931196,0.07245929780985089,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,618616,575190.930604658,ok,210322_Smp_PPL_Aloha_C,0,-3.2,Inf,NA,NA,NA
Guanine_Pos,"Thymine, D4",0.10145375231931196,0.07245929780985089,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,1561120,1404096.8793504245,ok,210322_Smp_PPL_PS_A,0,-3.9,Inf,NA,NA,NA
Guanine_Pos,"Thymine, D4",0.10145375231931196,0.07245929780985089,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,1184482,1068784.3793087285,ok,210322_Smp_PPL_PS_B,0,-4.3,Inf,NA,NA,NA
Guanine_Pos,"Thymine, D4",0.10145375231931196,0.07245929780985089,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,1841612,1615633.829382911,ok,210322_Smp_PPL_PS_C,0,-3.6,Inf,NA,NA,NA
Homarine_Pos,Inj_vol,0.05022616910626015,0.05022616910626015,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,6062874,6062874,ok,210322_Smp_PPL_Aloha_A,442639,-3.2,13.69710757524755,NA,NA,NA
Homarine_Pos,Inj_vol,0.05022616910626015,0.05022616910626015,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,5169631,5169631,ok,210322_Smp_PPL_Aloha_B,285829,-3.3,18.086446791613167,NA,NA,NA
Homarine_Pos,Inj_vol,0.05022616910626015,0.05022616910626015,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,6306368,6306368,ok,210322_Smp_PPL_Aloha_C,533466,-3.6,11.821499402023747,NA,NA,NA
Homarine_Pos,Inj_vol,0.05022616910626015,0.05022616910626015,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,3203487,3203487,ok,210322_Smp_PPL_PS_A,250306,-3.8,12.798282901728285,NA,NA,NA
Homarine_Pos,Inj_vol,0.05022616910626015,0.05022616910626015,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,1646866,1646866,ok,210322_Smp_PPL_PS_B,155141,-4.3,10.61528545000999,NA,NA,NA
Homarine_Pos,Inj_vol,0.05022616910626015,0.05022616910626015,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,2422138,2422138,ok,210322_Smp_PPL_PS_C,659308,-3.6,3.6737579401433016,NA,NA,NA
Hypoxanthine_Pos,Inj_vol,0.05151312193377486,0.05151312193377486,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,2501752,2501752,ok,210322_Smp_PPL_Aloha_A,0,-3.3,Inf,NA,NA,NA
Hypoxanthine_Pos,Inj_vol,0.05151312193377486,0.05151312193377486,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,2521880,2521880,ok,210322_Smp_PPL_Aloha_B,0,-3.4,Inf,NA,NA,NA
Hypoxanthine_Pos,Inj_vol,0.05151312193377486,0.05151312193377486,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,2637861,2637861,ok,210322_Smp_PPL_Aloha_C,0,-3.5,Inf,NA,NA,NA
Hypoxanthine_Pos,Inj_vol,0.05151312193377486,0.05151312193377486,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,2477790,2477790,ok,210322_Smp_PPL_PS_A,0,-3.8,Inf,NA,NA,NA
Hypoxanthine_Pos,Inj_vol,0.05151312193377486,0.05151312193377486,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,1652557,1652557,ok,210322_Smp_PPL_PS_B,204738,-4.6,8.071569518115837,NA,NA,NA
Hypoxanthine_Pos,Inj_vol,0.05151312193377486,0.05151312193377486,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,2209318,2209318,ok,210322_Smp_PPL_PS_C,0,-3.7,Inf,NA,NA,NA
Isoleucine_Pos,"L-Isoleucine, 15N",0.18414128485124087,0.08669722581070467,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,27930816,15296650.408077888,ok,210322_Smp_PPL_Aloha_A,3429437,-2.9,8.144431870304077,NA,NA,NA
