Rep,Compound,Area,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
210329_Blk_PPL_Blank_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,2087,0,-7,Inf,NA,ppmFlag,areaminFlag
210329_Poo_TruePoo_Full1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1991,0,0.4,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Full2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Full3,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1763,0,0.8,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Half1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Half2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Half3,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1954,0,0.5,Inf,NA,NA,areaminFlag
210329_Smp_Aloha_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,4025,0,-2.8,Inf,NA,NA,areaminFlag
210329_Smp_Aloha_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,2169,0,-1.2,Inf,NA,NA,areaminFlag
210329_Smp_Aloha_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1767,0,-9,Inf,NA,ppmFlag,areaminFlag
210329_Smp_PPL_Aloha_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,3591,0,-6.1,Inf,NA,ppmFlag,areaminFlag
210329_Smp_PPL_PS_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,2285,0,-8.4,Inf,NA,ppmFlag,areaminFlag
210329_Smp_PS_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Std_250nMStdsInH2O_1,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,379753,0,-0.1,Inf,NA,NA,NA
210329_Std_250nMStdsInH2O_2,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,27522,0,0,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,711106,0,0.1,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,340752,0,0,Inf,NA,NA,NA
210329_Std_H2OInMatrix_1,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Std_H2OInMatrix_2,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1764,0,6.7,Inf,NA,ppmFlag,areaminFlag
210329_Blk_Blank1_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1343,0,0.6,Inf,NA,NA,areaminFlag
210329_Blk_Blank1_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,2396,0,1,Inf,NA,NA,areaminFlag
210329_Blk_Blank1_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,2041,0,0.3,Inf,NA,NA,areaminFlag
210329_Blk_Blank2_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,2557,0,0.1,Inf,NA,NA,areaminFlag
210329_Blk_Blank2_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,2050,0,0.9,Inf,NA,NA,areaminFlag
210329_Blk_Blank3_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,2174,0,1.1,Inf,NA,NA,areaminFlag
210329_Blk_PPL_Blank_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,3571,0,-2.3,Inf,NA,NA,areaminFlag
210329_Blk_PPL_Blank_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1906,0,-0.2,Inf,NA,NA,areaminFlag
210329_Blk_PPL_Blank_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1842,0,0.4,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Full1,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1930,0,-3.2,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Full2,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Full3,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Half1,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1449,0,-13.5,Inf,NA,ppmFlag,areaminFlag
210329_Poo_TruePoo_Half2,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1486,0,-11.4,Inf,NA,ppmFlag,areaminFlag
210329_Poo_TruePoo_Half3,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,2023,0,-6.4,Inf,NA,ppmFlag,areaminFlag
210329_Smp_Aloha_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1490,0,6.1,Inf,NA,ppmFlag,areaminFlag
210329_Smp_Aloha_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,2902,0,3.5,Inf,NA,NA,areaminFlag
210329_Smp_Mort_Test_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1919,0,-8.4,Inf,NA,ppmFlag,areaminFlag
210329_Smp_Mort_Test_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1920,0,-0.1,Inf,NA,NA,areaminFlag
210329_Smp_PPL_Aloha_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1373,0,4,Inf,NA,NA,areaminFlag
210329_Smp_PPL_PS_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_A,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1463,0,4.3,Inf,NA,NA,areaminFlag
210329_Smp_PS_B,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_C,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,NA,NA,NA
