Rep,Compound,Area,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
210329_Blk_PPL_Blank_B,Adenosyl Homocysteine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_PPL_Blank_C,Adenosyl Homocysteine,0,0,NA,NA,NA,NA,areaminFlag
210329_Poo_TruePoo_Full1,Adenosyl Homocysteine,4504905,0,-0.2,Inf,NA,NA,NA
210329_Poo_TruePoo_Full2,Adenosyl Homocysteine,4876843,0,-0.3,Inf,NA,NA,NA
210329_Poo_TruePoo_Full3,Adenosyl Homocysteine,4192125,0,-0.6,Inf,NA,NA,NA
210329_Poo_TruePoo_Half1,Adenosyl Homocysteine,2234184,0,-0.4,Inf,NA,NA,NA
210329_Poo_TruePoo_Half2,Adenosyl Homocysteine,2348041,0,-0.5,Inf,NA,NA,NA
210329_Poo_TruePoo_Half3,Adenosyl Homocysteine,2085882,0,-0.4,Inf,NA,NA,NA
210329_Smp_Aloha_A,Adenosyl Homocysteine,17914,0,-9.9,Inf,NA,ppmFlag,NA
210329_Smp_Aloha_B,Adenosyl Homocysteine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_C,Adenosyl Homocysteine,13206,0,-9.3,Inf,NA,ppmFlag,NA
210329_Smp_Mort_Test_A,Adenosyl Homocysteine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_B,Adenosyl Homocysteine,11149,0,5.9,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_A,Adenosyl Homocysteine,538986,0,-9.1,Inf,NA,ppmFlag,NA
210329_Smp_PPL_Aloha_B,Adenosyl Homocysteine,954439,0,-10.5,Inf,NA,ppmFlag,NA
210329_Smp_PPL_Aloha_C,Adenosyl Homocysteine,672085,237746,-10.4,2.8269035020568167,NA,ppmFlag,NA
210329_Smp_PPL_PS_A,Adenosyl Homocysteine,788801,11401,-10.1,69.18700114025086,NA,ppmFlag,NA
210329_Smp_PPL_PS_B,Adenosyl Homocysteine,501830,198096,-10.5,2.5332666989742347,NA,ppmFlag,NA
210329_Smp_PPL_PS_C,Adenosyl Homocysteine,760209,0,-11.2,Inf,NA,ppmFlag,NA
210329_Smp_PS_A,Adenosyl Homocysteine,5116,0,-10.7,Inf,NA,ppmFlag,NA
210329_Smp_PS_B,Adenosyl Homocysteine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_C,Adenosyl Homocysteine,103444,0,9.3,Inf,NA,ppmFlag,NA
210329_Std_250nMStdsInH2O_1,Adenosyl Methionine,4329583,0,-1.4,Inf,NA,NA,NA
210329_Std_250nMStdsInH2O_2,Adenosyl Methionine,4519906,0,-0.7,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,Adenosyl Methionine,4553980,0,-1.1,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,Adenosyl Methionine,4630065,0,-1.2,Inf,NA,NA,NA
210329_Std_H2OInMatrix_1,Adenosyl Methionine,1325467,0,-1,Inf,NA,NA,NA
210329_Std_H2OInMatrix_2,Adenosyl Methionine,973265,0,-1.4,Inf,NA,NA,NA
210329_Blk_Blank1_A,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank1_B,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank1_C,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank2_A,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank2_B,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank2_C,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank3_A,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank3_B,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_Blank3_C,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_PPL_Blank_A,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_PPL_Blank_B,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_PPL_Blank_C,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Poo_TruePoo_Full1,Adenosyl Methionine,1648172,0,-0.9,Inf,NA,NA,NA
210329_Poo_TruePoo_Full2,Adenosyl Methionine,1845729,0,-0.8,Inf,NA,NA,NA
210329_Poo_TruePoo_Full3,Adenosyl Methionine,1418581,0,-1.3,Inf,NA,NA,NA
210329_Poo_TruePoo_Half1,Adenosyl Methionine,748251,0,-0.6,Inf,NA,NA,NA
210329_Poo_TruePoo_Half2,Adenosyl Methionine,666701,0,-0.9,Inf,NA,NA,NA
210329_Poo_TruePoo_Half3,Adenosyl Methionine,554434,0,-0.8,Inf,NA,NA,NA
210329_Smp_Aloha_A,Adenosyl Methionine,11202,0,5.5,Inf,NA,NA,NA
210329_Smp_Aloha_B,Adenosyl Methionine,6670,0,-9.4,Inf,NA,ppmFlag,NA
210329_Smp_Aloha_C,Adenosyl Methionine,11773,0,-2.7,Inf,NA,NA,NA
210329_Smp_Mort_Test_A,Adenosyl Methionine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_B,Adenosyl Methionine,17353,0,3.9,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_A,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Smp_PPL_Aloha_B,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Smp_PPL_Aloha_C,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Smp_PPL_PS_A,Adenosyl Methionine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_B,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Smp_PPL_PS_C,Adenosyl Methionine,0,0,NA,NA,NA,NA,areaminFlag
210329_Smp_PS_A,Adenosyl Methionine,12316,0,-9.1,Inf,NA,ppmFlag,NA
210329_Smp_PS_B,Adenosyl Methionine,13322,0,0,Inf,NA,NA,NA
210329_Smp_PS_C,Adenosyl Methionine,29549,0,6.9,Inf,NA,ppmFlag,NA
210329_Std_250nMStdsInH2O_1,Agmatine,80969528,276534,-3.8,292.80134811632564,NA,NA,NA
210329_Std_250nMStdsInH2O_2,Agmatine,96452216,429963,-3.3,224.3267816067894,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,Agmatine,23772348,0,-3.8,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,Agmatine,32668366,195092,-3.7,167.45107949070183,NA,NA,NA
210329_Std_H2OInMatrix_1,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Std_H2OInMatrix_2,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Full1,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Full2,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Full3,Agmatine,2516,0,4.3,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Half1,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Half2,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Half3,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_B,Agmatine,9239,0,-1.1,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_A,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_B,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_C,Agmatine,NA,NA,NA,NA,NA,NA,NA
210329_Std_250nMStdsInH2O_1,Aminobenzoic Acid,17395478,365571,-3.6,47.58440357687016,NA,NA,NA
210329_Std_250nMStdsInH2O_2,Aminobenzoic Acid,28468964,391386,-3,72.73884093963504,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,Aminobenzoic Acid,18207212,1439416,-3.6,12.649027105437206,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,Aminobenzoic Acid,27638432,1760601,-3.5,15.6982939348552,NA,NA,NA
210329_Std_H2OInMatrix_1,Aminobenzoic Acid,714763,217551,-3.5,3.285496274436799,NA,NA,NA
210329_Std_H2OInMatrix_2,Aminobenzoic Acid,795128,303533,-3.7,2.6195767840729016,NA,NA,NA
210329_Blk_Blank1_A,Aminobenzoic Acid,2835149,384531,-2.8,7.373005037305185,NA,NA,NA
210329_Blk_Blank1_B,Aminobenzoic Acid,3509117,304947,-3.3,11.50730126874506,NA,NA,NA
210329_Blk_Blank1_C,Aminobenzoic Acid,3316611,518617,-3.2,6.395106600824886,NA,NA,NA
210329_Blk_Blank2_A,Aminobenzoic Acid,1142878,204759,-3.5,5.581576389804599,NA,NA,NA
210329_Blk_Blank2_B,Aminobenzoic Acid,1235219,214359,-2.8,5.762384597800885,NA,NA,NA
210329_Blk_Blank2_C,Aminobenzoic Acid,1506222,283198,-3.2,5.318618069336648,NA,NA,NA
210329_Blk_Blank3_A,Aminobenzoic Acid,698440,236584,-3.3,2.9521861157136575,NA,NA,NA
210329_Blk_Blank3_B,Aminobenzoic Acid,713433,173108,-3,4.1213173279109,NA,NA,NA
210329_Blk_Blank3_C,Aminobenzoic Acid,1507925,323931,-3.4,4.655080865986892,NA,NA,NA
210329_Blk_PPL_Blank_A,Aminobenzoic Acid,12957,0,-0.5,Inf,NA,NA,NA
210329_Blk_PPL_Blank_B,Aminobenzoic Acid,125940,35708,-3,3.5269407415705163,NA,NA,NA
210329_Blk_PPL_Blank_C,Aminobenzoic Acid,95439,57705,-3,1.6539121393293474,NA,NA,NA
210329_Poo_TruePoo_Full1,Aminobenzoic Acid,1009085,247248,-3.4,4.081266582540607,NA,NA,NA
210329_Poo_TruePoo_Full2,Aminobenzoic Acid,1049166,288159,-3.1,3.6409274046620097,NA,NA,NA
210329_Poo_TruePoo_Full3,Aminobenzoic Acid,919730,238667,-3.3,3.8536119362961783,NA,NA,NA
210329_Poo_TruePoo_Half1,Aminobenzoic Acid,409723,203824,-3.2,2.0101803516759555,NA,NA,NA
210329_Poo_TruePoo_Half2,Aminobenzoic Acid,543334,217880,-3.6,2.4937304938498257,NA,NA,NA
210329_Poo_TruePoo_Half3,Aminobenzoic Acid,489060,118753,-3,4.118295958838934,NA,NA,NA
210329_Smp_Aloha_A,Aminobenzoic Acid,2237826,888489,-3.9,2.518687344469093,NA,NA,NA
210329_Smp_Aloha_B,Aminobenzoic Acid,1674214,285301,-3.2,5.868237405406921,NA,NA,NA
210329_Smp_Aloha_C,Aminobenzoic Acid,3129568,404058,-3.3,7.745343490290998,NA,NA,NA
210329_Smp_Mort_Test_A,Aminobenzoic Acid,704461,247113,-4,2.8507646299466236,NA,NA,NA
210329_Smp_Mort_Test_B,Aminobenzoic Acid,974075,411201,-3.3,2.368853674966744,NA,NA,NA
210329_Smp_PPL_Aloha_A,Aminobenzoic Acid,131059,147545,-3.8,0.8882645972415195,SNFlag,NA,NA
210329_Smp_PPL_Aloha_B,Aminobenzoic Acid,103381,218562,-3.4,0.4730053714735407,SNFlag,NA,NA
210329_Smp_PPL_Aloha_C,Aminobenzoic Acid,133111,252617,-3.4,0.5269281164767217,SNFlag,NA,NA
210329_Smp_PPL_PS_A,Aminobenzoic Acid,199678,372222,-3.2,0.536448678476823,SNFlag,NA,NA
210329_Smp_PPL_PS_B,Aminobenzoic Acid,112937,255747,-2.5,0.4415965778679711,SNFlag,NA,NA
210329_Smp_PPL_PS_C,Aminobenzoic Acid,168426,533064,-2.7,0.31595830894601773,SNFlag,NA,NA
210329_Smp_PS_A,Aminobenzoic Acid,1696013,442000,-2.6,3.837133484162896,NA,NA,NA
210329_Smp_PS_B,Aminobenzoic Acid,2182655,349513,-2.7,6.244846400563069,NA,NA,NA
210329_Smp_PS_C,Aminobenzoic Acid,2652370,313188,-3,8.468938784372327,NA,NA,NA
210329_Std_250nMStdsInH2O_1,Betaine,109426712,6320802,-3,17.312156273839932,NA,NA,NA
210329_Std_250nMStdsInH2O_2,Betaine,111684512,5216730,-2.3,21.40891171289294,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,Betaine,195275168,5438202,-2.9,35.908038723092666,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,Betaine,187134352,3799105,-2.9,49.257483538886135,NA,NA,NA
210329_Std_H2OInMatrix_1,Betaine,151409360,3985830,-3,37.98690862379981,NA,NA,NA
210329_Std_H2OInMatrix_2,Betaine,122522352,3294006,-3.2,37.19554609190147,NA,NA,NA
210329_Blk_Blank1_A,Betaine,17331808,9062950,-2.8,1.9123804059384637,NA,NA,NA
210329_Blk_Blank1_B,Betaine,16822734,9164914,-2.5,1.835558304202309,NA,NA,NA
210329_Blk_Blank1_C,Betaine,30384280,10043069,-2.5,3.025397913725376,NA,NA,NA
210329_Blk_Blank2_A,Betaine,11338149,598510,-2.8,18.943959165260395,NA,NA,NA
210329_Blk_Blank2_B,Betaine,12342083,91723,-2.6,134.55821331618023,NA,NA,NA
210329_Blk_Blank2_C,Betaine,15195061,860488,-2.6,17.658655321166595,NA,NA,NA
210329_Blk_Blank3_A,Betaine,16993890,128734,-2.2,132.0077834915407,NA,NA,NA
210329_Blk_Blank3_B,Betaine,20565854,276825,-2.4,74.29189560191456,NA,NA,NA
210329_Blk_Blank3_C,Betaine,13883979,1528517,-2.7,9.083300349292811,NA,NA,NA
210329_Blk_PPL_Blank_A,Betaine,1680605,0,-1.9,Inf,NA,NA,NA
210329_Blk_PPL_Blank_B,Betaine,1041668,0,-1.9,Inf,NA,NA,NA
210329_Blk_PPL_Blank_C,Betaine,854680,1104672,-2.1,0.7736957214449176,SNFlag,NA,NA
210329_Poo_TruePoo_Full1,Betaine,157105856,4404170,-2.6,35.67206897099794,NA,NA,NA
210329_Poo_TruePoo_Full2,Betaine,171602400,4197442,-2.8,40.88261374427568,NA,NA,NA
210329_Poo_TruePoo_Full3,Betaine,144255264,3829230,-2.9,37.67213356209995,NA,NA,NA
210329_Poo_TruePoo_Half1,Betaine,102111968,4506302,-2.5,22.659814632929617,NA,NA,NA
210329_Poo_TruePoo_Half2,Betaine,116009576,2012049,-2.7,57.65743080809662,NA,NA,NA
210329_Poo_TruePoo_Half3,Betaine,93529816,3103642,-2.6,30.13550403042619,NA,NA,NA
210329_Smp_Aloha_A,Betaine,100880128,1672760,-2.8,60.30759224276047,NA,NA,NA
210329_Smp_Aloha_B,Betaine,156285520,11083562,-2.9,14.100658254088351,NA,NA,NA
210329_Smp_Aloha_C,Betaine,76266624,1492722,-2.7,51.092315916828454,NA,NA,NA
210329_Smp_Mort_Test_A,Betaine,40611736,6281658,-3.5,6.4651300659793955,NA,NA,NA
210329_Smp_Mort_Test_B,Betaine,32157404,5412029,-2.5,5.941838818675953,NA,NA,NA
210329_Smp_PPL_Aloha_A,Betaine,1341997,141919,-2.8,9.45607705804015,NA,NA,NA
210329_Smp_PPL_Aloha_B,Betaine,5117369,0,-2.3,Inf,NA,NA,NA
210329_Smp_PPL_Aloha_C,Betaine,1382634,512045,-2.4,2.7002197072522924,NA,NA,NA
210329_Smp_PPL_PS_A,Betaine,876059,643155,-2.1,1.3621273254503192,NA,NA,NA
210329_Smp_PPL_PS_B,Betaine,670909,173026,-1.8,3.8775039589425866,NA,NA,NA
210329_Smp_PPL_PS_C,Betaine,967366,255431,-1.7,3.787191061382526,NA,NA,NA
210329_Smp_PS_A,Betaine,155138432,4533436,-2.1,34.220937937582,NA,NA,NA
210329_Smp_PS_B,Betaine,194097872,2581951,-2.2,75.17488596801411,NA,NA,NA
210329_Smp_PS_C,Betaine,150879568,9422459,-2.5,16.01275930200386,NA,NA,NA
210329_Std_250nMStdsInH2O_1,Butyryl-L-carnitine,332251808,3474154,-2.8,95.63531380589346,NA,NA,NA
210329_Std_250nMStdsInH2O_2,Butyryl-L-carnitine,360989600,3598817,-2,100.30785116331283,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,Butyryl-L-carnitine,541546368,4076561,-2.6,132.84392604452626,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,Butyryl-L-carnitine,556386880,3953853,-2.6,140.72017346117823,NA,NA,NA
210329_Std_H2OInMatrix_1,Butyryl-L-carnitine,215017376,1544891,-2.3,139.17964179997165,NA,NA,NA
210329_Std_H2OInMatrix_2,Butyryl-L-carnitine,186803296,1432886,-2.8,130.36856805077306,NA,NA,NA
210329_Blk_Blank1_A,Butyryl-L-carnitine,84779,179875,-2.3,0.4713217512161223,SNFlag,NA,NA
210329_Blk_Blank1_B,Butyryl-L-carnitine,117179,504257,-2.4,0.23237952076024726,SNFlag,NA,NA
210329_Blk_Blank1_C,Butyryl-L-carnitine,58156,291118,-2.6,0.19976779175454626,SNFlag,NA,NA
210329_Blk_Blank2_A,Butyryl-L-carnitine,157271,183232,-2.7,0.8583162329724066,SNFlag,NA,NA
210329_Blk_Blank2_B,Butyryl-L-carnitine,59399,83861,-2.4,0.708303025244154,SNFlag,NA,NA
210329_Blk_Blank2_C,Butyryl-L-carnitine,88738,100735,-2.7,0.8809053457090386,SNFlag,NA,NA
210329_Blk_Blank3_A,Butyryl-L-carnitine,53485,87208,-2.6,0.613303825337125,SNFlag,NA,NA
210329_Blk_Blank3_B,Butyryl-L-carnitine,82807,180448,-2.5,0.4588967458769285,SNFlag,NA,NA
210329_Blk_Blank3_C,Butyryl-L-carnitine,123274,209506,-3,0.5884031960898495,SNFlag,NA,NA
210329_Blk_PPL_Blank_A,Butyryl-L-carnitine,0,0,NA,NA,NA,NA,areaminFlag
210329_Blk_PPL_Blank_B,Butyryl-L-carnitine,81894,67086,-1.7,1.2207315982470262,NA,NA,NA
210329_Blk_PPL_Blank_C,Butyryl-L-carnitine,33591,59475,-1.3,0.5647919293820933,SNFlag,NA,NA
210329_Poo_TruePoo_Full1,Butyryl-L-carnitine,262881296,1552324,-2.2,169.34692499761647,NA,NA,NA
210329_Poo_TruePoo_Full2,Butyryl-L-carnitine,290417056,2122774,-2.3,136.81016255145389,NA,NA,NA
210329_Poo_TruePoo_Full3,Butyryl-L-carnitine,236483072,2378795,-2.3,99.41296833060436,NA,NA,NA
210329_Poo_TruePoo_Half1,Butyryl-L-carnitine,135309296,1992589,-1.8,67.9062747009042,NA,NA,NA
210329_Poo_TruePoo_Half2,Butyryl-L-carnitine,150380688,1040247,-2.4,144.56248179518903,NA,NA,NA
210329_Poo_TruePoo_Half3,Butyryl-L-carnitine,124530192,1275816,-2.1,97.60826953102955,NA,NA,NA
210329_Smp_Aloha_A,Butyryl-L-carnitine,193100,193213,-2.8,0.9994151532246796,SNFlag,NA,NA
210329_Smp_Aloha_B,Butyryl-L-carnitine,171162,111636,-2.6,1.533215091905837,NA,NA,NA
210329_Smp_Aloha_C,Butyryl-L-carnitine,49150,111281,-2.5,0.4416746794151742,SNFlag,NA,NA
210329_Smp_Mort_Test_A,Butyryl-L-carnitine,63021,219412,-3.3,0.28722676973000566,SNFlag,NA,NA
210329_Smp_Mort_Test_B,Butyryl-L-carnitine,93126,383761,-2.9,0.24266665971789733,SNFlag,NA,NA
210329_Smp_PPL_Aloha_A,Butyryl-L-carnitine,175966,223128,-2.9,0.7886325337922627,SNFlag,NA,NA
210329_Smp_PPL_Aloha_B,Butyryl-L-carnitine,855208,86066,-2.3,9.93665326609811,NA,NA,NA
210329_Smp_PPL_Aloha_C,Butyryl-L-carnitine,276156,278204,-2.4,0.9926384954925163,SNFlag,NA,NA
210329_Smp_PPL_PS_A,Butyryl-L-carnitine,385849,308645,-1.9,1.2501385086426153,NA,NA,NA
210329_Smp_PPL_PS_B,Butyryl-L-carnitine,294927,229452,-1.6,1.2853537994874744,NA,NA,NA
210329_Smp_PPL_PS_C,Butyryl-L-carnitine,41795,276319,-1.4,0.15125633778350384,SNFlag,NA,NA
210329_Smp_PS_A,Butyryl-L-carnitine,66431,236203,-2.2,0.28124536944916023,SNFlag,NA,NA
210329_Smp_PS_B,Butyryl-L-carnitine,153319,335258,-2.3,0.4573164547900423,SNFlag,NA,NA
210329_Smp_PS_C,Butyryl-L-carnitine,99252,181681,-2.5,0.5462981819783026,SNFlag,NA,NA
210329_Std_250nMStdsInH2O_1,C10-HSL,52220660,189973,-1.9,274.8846415016871,NA,NA,NA
210329_Std_250nMStdsInH2O_2,C10-HSL,63818780,254060,-1.6,251.19570180272376,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,C10-HSL,51482848,692946,-2.1,74.29561322238673,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,C10-HSL,68263016,630025,-2,108.34969405975953,NA,NA,NA
210329_Std_H2OInMatrix_1,C10-HSL,26191,0,-1.2,Inf,NA,NA,NA
210329_Std_H2OInMatrix_2,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_C,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_C,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_A,C10-HSL,3546,0,-1.8,Inf,NA,NA,areaminFlag
210329_Blk_Blank3_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_C,C10-HSL,7189,0,-1.5,Inf,NA,NA,NA
210329_Blk_PPL_Blank_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Blk_PPL_Blank_B,C10-HSL,3155,0,0.4,Inf,NA,NA,areaminFlag
210329_Blk_PPL_Blank_C,C10-HSL,2821,0,1.1,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Full1,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Full2,C10-HSL,8994,0,-1,Inf,NA,NA,NA
210329_Poo_TruePoo_Full3,C10-HSL,6086,0,-1.8,Inf,NA,NA,NA
210329_Poo_TruePoo_Half1,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Poo_TruePoo_Half2,C10-HSL,6424,0,-0.7,Inf,NA,NA,NA
210329_Poo_TruePoo_Half3,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Aloha_C,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_Mort_Test_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_Aloha_C,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PPL_PS_C,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_A,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_B,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Smp_PS_C,C10-HSL,NA,NA,NA,NA,NA,NA,NA
210329_Std_250nMStdsInH2O_1,C12-HSL,76483328,753446,-2,101.51135980548042,NA,NA,NA
210329_Std_250nMStdsInH2O_2,C12-HSL,95919736,1310318,-1.7,73.20340253282028,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,C12-HSL,80629888,941732,-1.9,85.61871955078514,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,C12-HSL,103128688,620166,-1.6,166.29207018765942,NA,NA,NA
210329_Std_H2OInMatrix_1,C12-HSL,8178,0,-1.5,Inf,NA,NA,NA
210329_Std_H2OInMatrix_2,C12-HSL,30380,0,-0.2,Inf,NA,NA,NA
210329_Blk_Blank1_A,C12-HSL,31368,0,-1.1,Inf,NA,NA,NA
210329_Blk_Blank1_B,C12-HSL,42116,0,-0.9,Inf,NA,NA,NA
210329_Blk_Blank1_C,C12-HSL,44973,0,-1.1,Inf,NA,NA,NA
210329_Blk_Blank2_A,C12-HSL,45607,0,-1.4,Inf,NA,NA,NA
210329_Blk_Blank2_B,C12-HSL,31055,0,-1.2,Inf,NA,NA,NA
210329_Blk_Blank2_C,C12-HSL,154551,85151,0,1.8150227243367665,NA,NA,NA
210329_Blk_Blank3_A,C12-HSL,54681,0,-0.6,Inf,NA,NA,NA
210329_Blk_Blank3_B,C12-HSL,44290,0,-0.8,Inf,NA,NA,NA
210329_Blk_Blank3_C,C12-HSL,42648,0,-1.2,Inf,NA,NA,NA
210329_Blk_PPL_Blank_A,C12-HSL,8687,0,0.1,Inf,NA,NA,NA
210329_Blk_PPL_Blank_B,C12-HSL,30373,0,-0.9,Inf,NA,NA,NA
210329_Blk_PPL_Blank_C,C12-HSL,43200,0,-0.5,Inf,NA,NA,NA
210329_Poo_TruePoo_Full1,C12-HSL,35275,0,-1.3,Inf,NA,NA,NA
210329_Poo_TruePoo_Full2,C12-HSL,33561,0,-0.7,Inf,NA,NA,NA
210329_Poo_TruePoo_Full3,C12-HSL,31099,0,-0.8,Inf,NA,NA,NA
210329_Poo_TruePoo_Half1,C12-HSL,49905,0,-1.4,Inf,NA,NA,NA
210329_Poo_TruePoo_Half2,C12-HSL,2512,0,-0.1,Inf,NA,NA,areaminFlag
210329_Poo_TruePoo_Half3,C12-HSL,27455,0,-0.5,Inf,NA,NA,NA
