Compound,210322_Blk_Blank1_A,210322_Blk_Blank1_B,210322_Blk_Blank1_C,210322_Blk_Blank2_A,210322_Blk_Blank2_B,210322_Blk_Blank2_C,210322_Blk_Blank3_A,210322_Blk_Blank3_B,210322_Blk_Blank3_C,210322_Blk_Blank4_A,210322_Blk_Blank4_B,210322_Blk_Blank4_C,210322_Blk_Blank5_A,210322_Blk_Blank5_B,210322_Blk_Blank5_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_LW_A,210322_Smp_LW_B,210322_Smp_LW_C,210322_Smp_NP_A,210322_Smp_NP_B,210322_Smp_NP_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Blk_Blank6_A,210322_Blk_Blank6_B,210322_Blk_Blank6_C,210322_Blk_Blank7_A,210322_Blk_Blank7_B,210322_Blk_Blank7_C,210322_Smp_C_1mL_NS_A,210322_Smp_C_1mL_NS_B,210322_Smp_C_1mL_NS_C,210322_Smp_C_1mL_SAf_A,210322_Smp_C_1mL_SAf_B,210322_Smp_C_1mL_SAf_C,210322_Smp_C_1mL_SBe_A,210322_Smp_C_1mL_SBe_B,210322_Smp_C_1mL_SBe_C,210322_Blk_PPL_Blank_A,210322_Blk_PPL_Blank_B,210322_Blk_PPL_Blank_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Poo_TruePoo_Full1,210322_Poo_TruePoo_Full2,210322_Poo_TruePoo_Full3,210322_Poo_TruePoo_Half1,210322_Poo_TruePoo_Half2,210322_Poo_TruePoo_Half3,210322_Std_4uMStdsMix1InH2O_1,210322_Std_4uMStdsMix1InH2O_2,210322_Std_4uMStdsMix1InMatrix_1,210322_Std_4uMStdsMix1InMatrix_2,210322_Std_4uMStdsMix2InH2O_1,210322_Std_4uMStdsMix2InH2O_2,210322_Std_4uMStdsMix2InMatrix_1,210322_Std_4uMStdsMix2InMatrix_2,210322_Std_H2OInMatrix_1,210322_Std_H2OInMatrix_2
2-Hydroxy-4-(methylthio)butyric_acid_Neg,NA,49641,NA,19779,NA,NA,NA,NA,NA,NA,NA,25279,NA,NA,NA,19917,36209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,141824784,138847520,141340464,0,0,0,0,0,0,17448,18267,0,0,0,0,4094560,5341042,7568212,2828867,2766455,3935517,217152592,282217600,194462720,280130656,168718,268977,3962485,5272195,3169287,4325545
3-Sulfopyruvic Acid_Neg,119817,303163,170706,0,0,0,0,0,NA,NA,NA,0,0,0,14147,340765,70251,238276,0,0,0,0,0,0,28469,0,101995,0,13439,142228,194663,182671,190795,0,15111,0,6945984,7320559,6861812,74774,0,112660,0,0,0,0,0,0,0,0,0,420871,492507,415731,217290,132263,111216,0,0,NA,231622,16015489,12610227,15991003,13649582,307449,132900
Aconitic Acid_Neg,13422,858166,16698,NA,16342,NA,NA,NA,176273,13791,NA,NA,NA,NA,NA,359135,NA,14279,174044,14170,11781,NA,NA,NA,15326,13316,NA,142952,133919,138761,237492,234128,230273,36153,77456,65119,181687488,191726864,181981840,354423,275750,530713,51538,27384,15523,388217,110242,460964,647364,420542,458857,15787316,12394864,10492650,6998559,5974718,4541935,322900832,277038400,315630240,272912704,602053,363185,10219521,8488914,8785014,5604455
ADP_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,16333,0,0,0,7897952,8221953,8023991,0,0,0,0,0,0,17973,11857,0,0,0,0,209700,42404,0,85983,0,0,286536,0,147766,15711,14322270,7399514,11232486,8527146,22066,0
Amino Propanesulfonic Acid_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20102,12611,NA,NA,NA,NA,NA,NA,NA,20415,NA,NA,NA,NA,15323,NA,0,0,0,0,0,0,0,23969,0,35401384,32529494,34265860,0,0,0,34693,0,0,0,0,0,0,0,0,2479069,2408201,2494745,1298963,1355503,1262781,0,0,1011709,1219429,65438600,29754946,59615948,68796280,1297855,1374592
AMP_Neg,12283,0,12229,0,0,0,0,16318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21738,0,14675,0,0,0,12125,51565,363338,0,0,0,21476092,19408378,22574838,4285159,5436538,4601054,0,0,0,0,0,0,0,0,0,1173652,1106505,1172197,481440,444740,402475,17555,0,949460,1291554,34078968,39142816,30290500,41187872,692893,559864
ATP_Neg,12144,NA,10985,NA,NA,NA,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33528,17537,NA,NA,0,0,0,13529,0,0,0,13093,0,870822,879848,678005,0,0,0,0,0,0,0,0,0,0,0,15101,0,0,0,0,0,0,0,NA,138500,0,7987994,927468,7493427,758657,0,13107
cAMP_Neg,0,0,0,0,0,0,0,0,0,0,0,13309,0,0,0,0,0,0,0,0,0,15494,0,0,0,16875,0,0,0,0,24549,0,75074,0,0,0,152334016,147204448,149318992,11305094,10908278,10528090,0,0,0,0,0,0,2070160,2109753,1659472,6349670,7326792,10795682,3207909,3635679,5203093,0,0,3804333,6106335,195090160,308727648,172215952,311632192,4257325,6025919
cGMP_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,36939840,35569064,35919264,202739,25473,0,0,0,0,0,0,0,0,0,0,1676950,1905915,2350374,669119,964364,1103319,17109876,21741780,15396527,22650126,55592008,73074224,50095936,73801992,1026327,1279048
Citric Acid_Neg,6518548,52912240,6471831,4638025,3951422,4356345,NA,NA,1917832,377051,1927404,3164757,1285576,533225,49844,3555916,5093037,2640577,278299,2471879,2761461,3181406,6279067,233160,4210214,NA,NA,749448,414604,1252682,554838,643527,420224,843433,1529063,1064501,42631876,41650816,41489512,288518,337653,292593,11809,376569,497998,3290295,53926,135810,267444,619960,167227,29889166,5645840,1326836,1222816,5566022,1158855,6608752,73342416,117958736,69301704,36285144,14040192,31146074,4367790,200088528,1228398
Cyclic diGMP_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,7649038,6661503,6784170,0,0,0,0,0,0,0,0,0,0,0,0,381848,269121,240445,39783,35655,22123,0,0,103114,74795,12488455,10491999,11216278,11096550,107947,36936
Cysteic Acid_Neg,133766,210957,134873,0,25275,17830,16657,20853,0,20701,0,14964,0,12713,19370,102337,44840,659415,14913,82728,185873,14380,30643,15245,667787,579676,1678581,0,19720,0,0,14967,97997,15776,0,0,23318494,23316068,23844172,549019,3517331,654170,0,0,0,0,0,12938,38012,43232,15355,1695498,1623742,1594063,734454,715376,801158,0,15333,1018849,818201,35666380,37176064,36723660,40815948,841680,931464
DHAP_Neg,NA,NA,16987,16009,38857,NA,19467,NA,NA,NA,NA,19255,NA,NA,NA,16711,NA,NA,NA,18593,NA,16670,NA,NA,NA,NA,NA,33599,NA,NA,17375,NA,NA,NA,15807,NA,3744842,3405905,3292479,NA,NA,NA,NA,20658,NA,21635,NA,NA,NA,NA,NA,77389,39022,NA,20402,13313,17676,1271714,1030910,1236701,1137559,5628540,4964575,5215146,4868942,46012,0
DHPS_Neg,31079,17379,NA,47209,NA,19382,NA,40086,NA,NA,34219,28713,20141,NA,40523,19453,NA,19722,26101,29504,53819,NA,NA,45206,39799,NA,NA,211208,162976,289304,509853,411208,633808,537995,740231,653239,246951776,245378240,229947904,524841,369547,341786,50592,135875,188826,89088,248217,115123,226787,115452,247743,17277308,15551170,16930946,8894904,9300584,9398557,187137,612095,10590791,10975789,326178176,374000384,317355840,391771616,10110461,10801501
Ethanesulfonic Acid_Neg,1917188,2071087,319741,608526,527929,1617637,464051,246722,1071008,763008,279278,1019486,1070530,232584,548175,1594155,942196,1483438,297378,480821,696587,297937,490102,270286,767345,744426,533810,271916,1530946,554479,129621,222419,210050,232446,316653,431689,224511056,215653888,221226544,229515,372804,59050,296990,NA,133195,300495,420680,141708,218434,298011,224753,14116526,14375641,13908760,7210152,7371080,7819077,112567,24289,9143371,8045922,380521888,394798656,362527232,401564928,8992032,8988260
Ethyl Dihydroxybenzoate_Neg,346502,1099163,607108,185217,99058,240600,116676,88853,57470,0,0,33881,119239,281209,48459,133800,322244,152564,76413,106500,36342,86095,0,99649,326625,57501,217935,38672,88806,174156,140052,398117,298498,174579,118910,242260,69186464,57805584,66444428,960154,430118,901334,96586,47935,133057,803408,693859,1020865,50037,457431,269759,3981318,4092031,4130384,1908854,1926079,2196566,NA,17717,24582,2056782,103448936,127267760,107927480,138504048,2325188,265765
FAD_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15528,NA,NA,NA,0,0,0,0,0,0,0,0,0,7661447,1891442,5480768,0,0,0,0,0,0,0,0,0,0,0,0,61675,32609,0,0,0,0,0,NA,66130,NA,22660806,22196682,19154968,21066140,0,30491
Fructose 6 phosphate_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,16169,25523560,25747712,25691326,0,0,0,0,0,0,0,0,0,0,0,0,1065201,1112343,924515,627856,144009,416788,16954606,17392584,16655180,17280706,26479068,28180458,24737698,26287618,518525,527627
Fumaric Acid_Neg,4270906,4947296,5889528,3804879,5442994,3769030,3481115,3747274,2614116,2756403,4003288,3387433,2925582,2774181,2771437,2916097,3202504,3861498,2766317,3060407,3254176,3777922,4495997,3732532,3257528,3696378,3377932,2350601,1789123,2850478,2686413,2947606,2619226,3500435,3208628,1938680,21241298,21061062,22345474,2143154,3674875,3363518,1941454,2659239,3111209,2586771,2755756,4376897,3276777,2664110,3252284,7450900,4362434,3528045,4308856,3557478,2512596,1406238,32027426,40184260,31198698,5816884,2527030,7114435,3053176,10313912,1823911
Gluconic Acid_Neg,24241882,4532613,11966630,12983016,13618564,17591206,7858868,6867801,8270982,7147419,11255231,6625257,5984759,5608897,6182103,12776831,13857101,12142863,5833978,8203680,7316867,8902305,7931354,5883917,9570405,8933837,9394770,5899567,5457331,6781443,3939050,3810919,1115852,6199758,5994049,3808947,201215968,206289680,190716160,3332886,5253883,4564154,4534174,4650341,4370562,338694,2681340,1183276,1626880,1692907,3247395,12541625,4018298,4473039,17651032,6447351,2631213,27649970,2097509,20636416,2115653,86686600,159440592,75648600,202052800,30364698,3108435
Glucose 1 phosphate_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,16169,25523560,25747712,25691326,0,0,0,0,0,0,0,0,0,0,0,0,1065201,1112343,924515,627856,144009,416788,16954606,17392584,16655180,17280706,26479068,28180458,24737698,26287618,518525,527627
Glucose 6 phosphate_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,12202416,11570178,10906990,0,0,0,0,0,0,0,0,0,0,0,0,659123,657069,484939,262889,243140,136424,20499474,22023616,19177276,20810146,927442,537265,931662,768506,258003,100496
glycerol 3 phosphate_Neg,0,0,0,0,0,0,0,0,15399,0,16868,0,0,0,0,18433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14796095,14196001,14867245,0,0,0,0,0,0,0,0,0,0,14263,0,836791,717869,599993,365234,365413,219984,12568,NA,509975,398373,24165020,24528524,23634378,26094094,495527,350620
GMP_Neg,NA,NA,11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12197,NA,NA,0,0,0,0,0,0,0,0,0,9415929,9232565,9176692,31573,18593,14650,0,0,0,0,0,0,0,0,16007,384115,359631,42096,80686,82248,22926,NA,NA,325438,501367,13835022,15023574,12508945,14297182,145069,39452
GTP_Neg,NA,NA,NA,NA,NA,NA,NA,13812,NA,NA,NA,NA,NA,NA,NA,15525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,234004,238779,247026,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,14097,NA,NA,NA,NA,NA,14322,NA,3730795,NA,4013111,21515,NA,NA
Indole 3 carbinol_Neg,254176,545878,270859,102200,109984,147390,29628,NA,76097,95783,78072,40943,643179,288871,485688,179247,14404,183574,456141,450255,741887,NA,20262,NA,170599,77290,48774,825878,295385,649884,28470,46419,39572,311356,236442,214241,684090,636151,541991,32011,47458,86124,NA,NA,NA,NA,NA,NA,NA,21330,22772,71147,95645,171921,61352,34516,40441,NA,NA,116200,13614,915308,1053029,1422370,1099808,95381,60997
Indole 3 Pyruvic Acid_Neg,4412469,5980574,4011035,1965915,1892104,5562143,460316,1655593,2293270,NA,NA,17260,NA,NA,NA,3650567,2274560,4901794,16913,53343,29732,NA,NA,NA,127230,661596,149012,19537,48443,NA,18923,NA,19149,NA,NA,17778,2807883,2939338,2925423,20090,NA,44317,NA,NA,NA,NA,0,15731,NA,0,17879,590359,442703,588634,252090,123811,236435,NA,NA,111481,354911,7406673,2051423,2093017,2223517,309319,268207
Isethionic Acid_Neg,1613089,2132184,2682272,697288,882776,857021,337672,401586,715086,667138,796521,551171,304468,289698,309993,1667081,1520085,2964617,458392,411031,516156,312500,130707,415998,1088881,1737426,1978163,254989,287311,311016,355828,309335,0,294667,0,0,193551936,176840928,178264032,388337,569056,498858,134821,253292,155103,49035,261586,45326,149353,124614,61467,17631598,17022848,18432030,8514908,9670895,9478944,NA,NA,6484187,6080481,341244960,429644896,340695712,429249632,9396454,11117128
Isocitric Acid_Neg,6518548,52912240,6471831,4638025,3951422,4356345,NA,NA,1917832,377051,1927404,3164757,1285576,533225,49844,3555916,5093037,2640577,278299,2471879,2761461,3181406,6279067,233160,4210214,NA,NA,749448,414604,530946,464805,71834,420224,2363988,1906020,1061075,17603546,20555768,18161388,1711167,1726403,1678409,1022819,594751,497998,249720,1849590,375539,686532,155238,150497,29889166,5645840,214196,1222816,5566022,1158855,6608752,73342416,3958583,161462,36285144,726294,31146074,4367790,200088528,164297
Keto-?-(methylthio)butyric acid_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29914246,54668,31195154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500880,1572546,1950143,735236,790070,874218,52114664,61958224,50688840,63954940,21572,29735,1081244,1176937,906711,1078684
Ketoglutaric Acid_Neg,3222170,2877409,3238658,1890877,1813356,2138457,1613647,1359981,1407939,1657032,1834539,1353341,1256542,1142978,432056,2594344,2561578,2417437,1332905,720744,1671581,1535119,1437591,1532784,2074385,1948590,1408453,58464,93538,49452,21491,17437,NA,NA,24005,27385,33692,78788,NA,NA,16785,33419,457361,472647,457468,1050235,643978,959396,660240,480383,1037340,NA,25907,16089,NA,17164,27272,37848,19240,60822,17923,NA,20121,18995,19010,NA,16570
Lipoic Acid_Neg,NA,NA,28463,34974,19297,NA,NA,NA,NA,NA,32659,NA,NA,NA,NA,NA,21382,NA,NA,NA,NA,NA,NA,NA,18313,16542,NA,NA,61418,30382,17070,NA,NA,NA,NA,NA,17691052,16129142,17747278,NA,NA,NA,NA,NA,NA,16977,NA,18240,NA,NA,NA,772536,854574,809245,354294,433297,448184,37968332,39368960,37407012,43223388,NA,NA,577484,577276,446990,17563
L-Pyroglutamic acid_Neg,7230773,7174315,5250811,12350412,24268712,16622174,4304883,8845135,13271140,12247667,28487492,27247066,7196218,24662494,6051923,6952487,8394573,8514794,4217764,18909706,9552103,7545644,5476332,3329576,8696195,5193072,7156781,120058,79089,538096,155182,72156,7731352,1002758,3056555,3150175,142446768,136444400,141065680,24948238,23016214,32342310,2133693,1728404,3956892,21668774,21540382,21622328,6543074,4351397,8017369,22743982,21517126,21845260,11686292,11199127,11038782,236648272,253456128,230289680,265991184,915699,740708,15244423,12184887,12969062,15331227
Malic Acid_Neg,99188016,95497936,92019416,76460248,76932608,78281832,67033828,67783528,69641240,72789120,70956280,64249988,63697416,59177512,57566896,82324104,82361872,82619648,51602608,61283472,67006408,65482312,51423288,61524368,66961560,59701012,69557112,NA,NA,153632,743503,NA,106095,254531,98751,NA,NA,244351952,NA,172603,59180728,97826,48008024,51507596,45385340,52784652,51344140,55798572,51519388,59144836,52302044,429747,100918,NA,438684,NA,78204,376022,32240,514429,NA,186236,82826,489996,106221,186434,104133
MESNA (Sodium 2-mercaptoethanesulfonate)_Neg,7689914,8375277,6980759,972563,1299344,4177617,2355271,3191950,9142327,660577,443743,5431890,1666111,1273794,3130163,3603640,3731851,30907400,3938110,1972624,4191830,1588816,1697703,5446975,7862480,9878884,65435656,1298925,1348171,4530126,2079530,1934827,9486199,616091,1125914,2610382,85642216,84678576,3090374,7442643,1588983,35430332,NA,NA,NA,NA,NA,NA,NA,NA,NA,7686955,7756097,7047229,4363078,4318181,4222427,NA,NA,5357921,4974864,135420960,164244576,127156600,4975471,4720133,4541218
Methylphosphonic Acid_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19410504,19476154,19098436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37098432,12987330,36299020,36130292,NA,NA,NA,NA,NA,NA
N-acetyltaurine_Neg,26982,NA,23301,NA,25279,19939,19742,18025,16713,20476,NA,111363,18984,41508,21170,17634,20038,NA,18563,15687,21866,16655,18048,19200,22486,19495,92271,19265,15870,17985,20209,22510,20020,NA,20395,15179,167101280,206567424,207921248,22732,27826,82423,17095,NA,NA,NA,16749,15615,14257,20499,NA,21807,21125,12004212,NA,18128,6650654,NA,17205,32373,7888892,NA,470329,137964,111787,22655,7127375
"NAD_Neg",NA,12688,NA,NA,NA,NA,NA,NA,NA,13560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8162078,7442214,8199752,NA,NA,NA,NA,NA,NA,NA,NA,NA,14714,NA,NA,177508,151548,75378,16352,31429,19634,NA,NA,28088,39456,13877375,14547478,13204467,15926541,32262,22104
"NADH_Neg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114092,7532845,7264652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167536,19109,53386,35605,33671,NA,NA,NA,47748,NA,14891184,11329247,652793,359091,14710,15501
"NADP_Neg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4527869,4493735,4526338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NADPH_Neg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17284,43604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12216,NA,NA,NA,NA,NA,NA,NA,NA,355082,68203,NA,13633,NA,NA
Orotic Acid_Neg,14536,14858,14970,21176,15214,15439,32833,NA,13213,13062,43629,98818,NA,NA,22197,15798,15270,16865,15525,828494,NA,18591,NA,16609,NA,NA,17943,16910,16154,14824,15452,20969,NA,NA,20399,NA,NA,234746224,246133264,21535,NA,18129,0,24794,0,17669,14769,11758,0,16840,0,16727,14975,NA,13701,NA,NA,15014,NA,NA,NA,NA,NA,30973,NA,14693,NA
Oxalic Acid_Neg,170460,155712,984045,375857,347213,166137712,519220,176464,381610,543493,301106,606330,316437,471549,364075,192650,616977,392478,485859,101768784,648718,448899,472606,206766,123502,122843,183563680,314828,380608,304105,48284,109237,66915124,314603,335912,79839656,63602200,68883584,73022,123986,205896,173390,NA,28241002,36014856,43728744,42283556,48210192,45439056,46369528,30780128,279138,825334,106367,499616,266548,56504,707172,102161,198363,72825,262862,109662,1192234,213214,35891,137779
PEP_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17540,14570,20929,NA,NA,NA,NA,NA,NA,NA,NA,405722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14525,17283,NA,NA,36598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16852,NA,16896,NA,NA,NA,NA,NA,NA,NA
Phosphoglyceric Acid_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24745,NA,NA,NA,NA,NA,NA,NA,NA,NA,18259,NA,NA,NA,18985,NA,NA,NA,NA,NA,15787723,15586132,15703827,NA,NA,NA,NA,11613,NA,NA,NA,NA,NA,NA,NA,34473,15886,14682,42860,26293,NA,21096890,14511348,24239140,18277996,6923134,5132335,6782129,6223994,87295,NA
Propanesulfonate_Neg,66299,71650,178142,17740,15667,14121,NA,NA,NA,NA,NA,NA,NA,NA,NA,21793,15580,20403,NA,NA,16503,NA,NA,18566,12615,15306,NA,NA,NA,12629,39051,NA,NA,NA,NA,NA,250783904,244988768,241443008,NA,NA,NA,NA,NA,NA,NA,13065,NA,NA,NA,NA,14627002,14062148,2503125,6997740,6988936,6618131,NA,NA,8543478,7202303,470255680,431794016,418509984,419997888,8565653,7754161
Resorcylic Acid_Neg,80426,96485,18367,0,0,19947,0,0,12477,0,0,0,0,0,0,29616,0,36633,0,0,0,0,0,0,58638,15156,0,NA,NA,NA,16094,NA,12832,NA,NA,14391,215349648,197394336,198334384,21357,18546,19389,NA,NA,NA,17272,20027,34882,240010,176803,374452,5627308,3210771,1926205,4083963,3274964,3217247,13121,19651,5805858,4668541,361064192,403403360,352930912,395609248,5906796,3228953
Riboflavin Monophosphate_Neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26555374,23098004,25571880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318337,149386,55511,145891,53408,22533,14315,NA,148335,161896,46309200,46083160,40890448,41520360,267157,24556
Ribose 5 phosphate_Neg,NA,NA,NA,NA,NA,NA,16090,NA,NA,NA,NA,NA,NA,NA,NA,15995,20069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7704959,8220987,7747501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163248,71958,20849,29830,14883,14450,NA,155139,373451,144512,14300433,13822829,12036564,14001247,38958,16129
Salicylic Acid_Neg,14494633,16353588,15084068,12384252,13122954,13588723,2538952,2057011,209361,2076636,5868240,6201114,2558473,1926798,2887713,17596654,16729924,20090206,2470653,3794847,4085867,1797199,2014588,1839512,23581310,10606574,8876558,1827069,2764270,2972609,2317748,1955796,3143446,1458251,2351185,1993210,252314768,247445152,254443040,17695732,7879358,19369024,49524,171761,332503,641018,647852,670245,704441,643855,936888,19470084,18253244,22051814,10469552,9692840,11068639,396521856,407187712,407867232,442463584,38704756,46814284,52051692,59938048,12846245,12610487
Shikimic Acid_Neg,302526,129047,934497,50360,954526,287482,393237,384734,161939,582448,374526,452632,208259,157368,449177,930229,262276,217484,209417,1023975,270142,107592,434612,192178,357023,480136,84560,249938,120985,76452,257372,202582,524222,190271,790509,740597,33232752,31163320,31309880,477512,77743,131799,286223,79054,354638,339846,651214,324182,3658798,1535857,2111464,3666451,2469623,805851,149491,1447044,268990,42013116,12107631,54284360,19453962,367718,331156,2156286,1212943,1961739,503950
Succinic Acid_Neg,10130261,8789954,8976896,8339398,584784,3867165,689173,5390607,616466,253268,406586,284840,2645918,90507,651837,360443,9662250,4398898,2625203,471803,164164,845584,517587,423988,597785,8306203,8346418,278670,506675,378853,238937,339670,951696,652320,391848,297834,646521344,635834496,635221376,12425720,11920918,12998066,3706117,6898782,5758241,5470391,5736988,12703885,16248874,12243390,16422565,52321,508438,2534090,305484,685476,2615372,272119,908397,77823800,5715051,1338239104,2632959,137246,394644,1057966,2983437
Sucrose_Neg,2966952,4511113,1426908,1352837,2225636,2266603,847487,2248531,922849,2563504,5150778,3124142,2250128,2025309,1911271,1087595,1517025,601335,1534252,1608144,2002013,2306886,1628626,1643798,326248,724725,1132313,1559183,1941697,1873461,1889795,1477454,2157266,4139113,2555466,2367149,31614218,31174798,32965470,1600465,2373436,1798756,4712401,1388100,1165986,1883236,2477088,2276873,1144523,780777,1924949,2767564,3308087,3237900,2134741,1620410,2318338,48011752,53471436,48422844,54156932,285109,2500032,2365872,2939775,2399487,2322182
Sulfoacetic Acid_Neg,355856,363727,128918,11285,106158,90481704,42950340,43773836,132954720,71298456,70159480,93823584,29141326,19183012,31540262,104317176,103158864,180597008,33556708,27306936,43817300,48027072,52247908,76425808,97611008,92024408,182221920,23285218,27286520,42064432,37882128,38667652,83040376,13776064,28718348,28831214,173391776,176967184,176694560,51895720,43022608,129820848,3208496,1919981,1658215,982483,2969423,2018146,2776578,2493969,1725785,154277,75913528,70242144,251704,48531208,44502324,3580596,2085201,235036,52899412,368419,150540576,322582,232023616,394847,52818340
Sulfolactic Acid_Neg,2208804,13031,NA,NA,549583,NA,225468,NA,762891,NA,NA,NA,192347,NA,164328,2069229,1515342,NA,117625,80602,NA,15880,474757,NA,1115412,1135785,2742509,59328,35689,236241,NA,NA,NA,NA,NA,NA,785762,1108400,919269,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,491430,NA,NA,66351,13477,11875,NA,302264,NA,1037005,24443,1462893,NA,204894
Taurine_Neg,46331,16815,14545,NA,NA,16595,NA,NA,NA,25565,17718,NA,14651,NA,NA,NA,14434,NA,15760,NA,24403,17383,NA,NA,17886,29312,59587,NA,NA,NA,31342,NA,NA,NA,NA,NA,103517600,22897,38374,17860,NA,NA,15570,NA,NA,NA,NA,NA,NA,NA,0,6777491,6571429,NA,3463031,3641581,NA,14893,24150,3120275,NA,143767632,716523,143546400,164890,3665586,NA
Thymidine_Neg,217235,149419,122548,260894,323295,230501,185080,242432,NA,95661,NA,292504,172843,210758,289654,NA,242919,NA,185766,77973,102174,233059,134999,NA,256396,205664,160496,283895,342452,297285,120965,96319,270043,198820,157013,204005,32925476,32400398,30667964,319433,298428,NA,599933,487413,437740,333109,489839,393591,540984,229270,229991,453682,422003,600927,556752,210762,548178,52160816,56020728,47153628,52563208,NA,NA,543132,198305,395504,NA
