MF,Blk.Av,Blk.sd,Blk.max,Blk.LD
Propionyl-L-carnitine_Pos,92343.66666666667,21954.343017574753,111107,122168.7554542536
Propionylglycine_Neg,68626,32206.220004837574,100527,112378.31681439534
Pyridinedicarboxylic acid_Pos,51328.333333333336,14545.974162404296,63250,71089.11463060844
Resorcylic Acid_Neg,0,0,0,20000
Riboflavin Monophosphate_Neg,0,0,0,20000
Riboflavin Monophosphate_Pos,0,0,0,20000
Ribose 5 phosphate_Neg,0,0,0,20000
Salicylic Acid_Neg,184596,141925.44355752424,332503,377402.4507296935
Sarcosine_Pos,60573,36310.62226126123,85085,109901.16855451863
Serine_Pos,282039,161358.1229036828,437232,501244.84634886205
Shikimic Acid_Neg,239971.66666666666,143495.73039060546,354638,434911.3601985308
Stachydrine hydrochloride_Pos,1141138.3333333333,759840.9410332753,1683757,2173386.1902889954
Succinic Acid_Neg,5454380,1617877.0290250739,6898782,7652274.330039516
Succinic semialdehyde_Neg,1021968.3333333334,840220.5731022856,1935326,2163412.337094787
Succinylglycine_Pos,0,0,0,20000
Sucrose_Neg,2422162.3333333335,1986511.6460696456,4712401,5120848.70140975
Sulfanilic Acid_Neg,10361,17945.778417221136,31083,34740.433000000005
Sulfoacetic Acid_Neg,2262230.6666666665,829875.8464314607,3208496,3389621.3056249153
Sulfolactic Acid_Neg,0,0,0,20000
Taurine_Neg,5190,8989.343691282473,15570,17402.07
Thiamine monophosphate_Pos,0,0,0,20000
Thiamine pyrophosphate_Pos,0,0,0,20000
Threonic acid_Neg,595430.6666666666,500889.48295340897,1139644,1275891.6255710162
Threonine_Pos,397909.3333333333,395712.08745921997,837950,935486.2552819799
Thymidine_Neg,508362,83101.06956592076,599933,621255.2337516524
Thymine_Neg,836235,492783.3058038797,1142588,1505683.6752291298
trans Hydroxyl proline_Pos,59012.333333333336,61457.58635297463,129356,142502.7829532985
Trehalose_Neg,2598760.6666666665,1884817.93359792,4712401,5159295.599230729
Trigonelline_Pos,242736.66666666666,111373.04819539301,355381,394037.52993152133
Trimethyl-L-lysine_Pos,0,0,0,20000
Trimethylamine N-oxide_Pos,316477,133575.05299643343,468291,497939.4018690106
Trimethylamine_Pos,333669.6666666667,57289.56227213936,399805,411497.83396826783
Trimethylammonium Propionate (TMAP)_Pos,281886.6666666667,114536.27120844006,368023,437484.784791006
Turicine_Pos,381543,162366.41499090876,567250,602118.616375743
Tyrosine_Pos,252348.33333333334,53909.95746922208,307075,325585.28999231703
UDP-glucosamine_Neg,0,0,0,20000
UDP-glucose_Neg,0,0,0,20000
Uracil_Neg,449845,173538.06830491114,586159,685597.3653099986
Uridine_Neg,0,0,0,20000
Valine_Pos,1148050,702977.5903590384,1574077,2103048.700319038
Vitamin B3_Pos,274981.3333333333,305619.3227028247,627864,690166.7673732927
