MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,0,0
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,751831,751831
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,779089,779089
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,755205,755205
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,286275,572550
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,318075,636150
Cystathionine_Pos,Inj_vol,0.12495482499897721,0.12495482499897721,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,312699,625398
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,0,0
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,0,0
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,0,0
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,12938,12938
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,38012,38012
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,43232,43232
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,15355,15355
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,1695498,1695498
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,1623742,1623742
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,1594063,1594063
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,734454,1468908
