Compound,210329_Std_250nMStdsInH2O_1,210329_Std_250nMStdsInH2O_2,210329_Std_250nMStdsInMatrix_1,210329_Std_250nMStdsInMatrix_2,210329_Std_H2OInMatrix_1,210329_Std_H2OInMatrix_2,210329_Blk_Blank1_A,210329_Blk_Blank1_B,210329_Blk_Blank1_C,210329_Blk_Blank2_A,210329_Blk_Blank2_B,210329_Blk_Blank2_C,210329_Blk_Blank3_A,210329_Blk_Blank3_B,210329_Blk_Blank3_C,210329_Blk_PPL_Blank_A,210329_Blk_PPL_Blank_B,210329_Blk_PPL_Blank_C,210329_Poo_TruePoo_Full1,210329_Poo_TruePoo_Full2,210329_Poo_TruePoo_Full3,210329_Poo_TruePoo_Half1,210329_Poo_TruePoo_Half2,210329_Poo_TruePoo_Half3,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210329_Smp_Mort_Test_A,210329_Smp_Mort_Test_B,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C
Squalene,184968,39160,274975,191146,NA,NA,1573,1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,1586,NA,NA,NA,NA,NA,NA,1966,NA,NA,NA,NA
Sulfurol,145997648,162348432,126432504,139505120,857195,744015,8190,3460,0,0,4329,4214,0,3188,16310,0,0,0,1000187,1156745,940784,557497,631464,521718,26158,19207,12520,76889,137690,146931,163208,160478,371939,316149,380401,41578,73433,44258
Syringaldehyde,8473774,16735277,9539523,17026510,44983,87333,191500,230450,138328,140026,93094,102402,120411,110729,100943,31224,71991,44355,136505,137670,213748,100118,113661,87986,171685,176476,209591,92800,84464,74271,124325,139536,103899,103447,229111,252083,141786,83703
Syringic Acid,502204,975369,590298,1080067,35197,8466,56682,73103,74637,6089,34652,44414,34368,2399,15410,12013,3101,2162,10651,12879,30458,3436,1976,2077,8226,8399,41679,104659,2874,5037,NA,4496,NA,4658,5470,8318,4209,3449
Thiamine monophosphate,8945700,10070405,4057220,4235924,1922571,1316865,0,0,0,0,0,0,0,0,0,0,0,0,2019872,2065956,1658522,1017884,960439,843623,NA,NA,NA,NA,NA,114285,146493,146866,122201,188457,150755,NA,NA,2490
thiamine pyrophosphate,NA,NA,15943,15931,NA,2869,NA,4139,NA,NA,3528,3064,14212,54552,47900,NA,NA,NA,6352,NA,4069,NA,NA,NA,NA,2849,2831,NA,NA,4436,5387,NA,4381,NA,3998,NA,NA,NA
Tocopherol (Vit E),423230,168953,513591,343084,21755,16206,45780,60929,24042,42263,22053,41007,52672,37817,55358,24968,42909,24425,23875,45235,42726,21199,32752,47357,17092,47834,20156,30914,66646,16935,48334,8807,30677,27353,33182,52478,52300,46779
Tocotrienol,375429,102020,604241,351141,NA,NA,2118,NA,3102,2547,NA,1961,NA,1865,NA,NA,NA,NA,1797,NA,NA,NA,NA,NA,NA,NA,1954,NA,NA,2667,NA,1956,NA,2533,NA,NA,NA,2338
trans Retinal,17011730,3201180,19999682,5203146,66977,2339444,112810,55278,69665,13905,27935,13702,13703,61277,37934,2312899,69476,29398,7411,67585,64019,153684,110160,42676,71412,54239,108881,37165,44245,65942,95482,12081,69177,31150,65301,23971,30712,113977
Tropodithietic acid,6877557,10292605,1728527,2232970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8421,NA,NA,NA,2233,NA,NA,NA,NA,NA,NA,NA,2360,NA,NA,NA,2814,NA,NA,NA,NA,1651,NA
Tryptamine,11148059,13137485,10799290,12575812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18176,NA,NA,NA,NA,NA,NA,NA,NA
Tryptophan,13212122,18231916,22639930,27347292,7508986,8883707,423777,452639,343173,78145,76584,95767,22804,54566,71286,0,8081,0,10876401,13423575,11183531,5350466,6813919,5772823,272235,121312,185111,5561,45128,214142,92329,160779,134839,214818,147829,361654,18303,101445
