Rep,Compound,Area
210322_Blk_Blank4_C,"Cytosine, 13C2-15N3",432736
210322_Blk_Blank5_A,"Cytosine, 13C2-15N3",NA
210322_Blk_Blank5_B,"Cytosine, 13C2-15N3",59169
210322_Blk_Blank5_C,"Cytosine, 13C2-15N3",20664
210322_Smp_Aloha_A,"Cytosine, 13C2-15N3",24834262
210322_Smp_Aloha_B,"Cytosine, 13C2-15N3",22036758
210322_Smp_Aloha_C,"Cytosine, 13C2-15N3",30606470
210322_Smp_LW_A,"Cytosine, 13C2-15N3",25406920
210322_Smp_LW_B,"Cytosine, 13C2-15N3",38889684
210322_Smp_LW_C,"Cytosine, 13C2-15N3",42499004
210322_Smp_NP_A,"Cytosine, 13C2-15N3",17369828
210322_Smp_NP_B,"Cytosine, 13C2-15N3",41259756
210322_Smp_NP_C,"Cytosine, 13C2-15N3",35784528
210322_Smp_PS_A,"Cytosine, 13C2-15N3",30666668
210322_Smp_PS_B,"Cytosine, 13C2-15N3",42354908
210322_Smp_PS_C,"Cytosine, 13C2-15N3",37050904
210322_Blk_Blank1_A,"Guanine, 13C-15N2",551455
210322_Blk_Blank1_B,"Guanine, 13C-15N2",217975
210322_Blk_Blank1_C,"Guanine, 13C-15N2",334727
210322_Blk_Blank2_A,"Guanine, 13C-15N2",43096
210322_Blk_Blank2_B,"Guanine, 13C-15N2",592768
210322_Blk_Blank2_C,"Guanine, 13C-15N2",3550160
210322_Blk_Blank3_A,"Guanine, 13C-15N2",35920
210322_Blk_Blank3_B,"Guanine, 13C-15N2",42621
210322_Blk_Blank3_C,"Guanine, 13C-15N2",2880857
210322_Blk_Blank4_A,"Guanine, 13C-15N2",557484
210322_Blk_Blank4_B,"Guanine, 13C-15N2",394812
210322_Blk_Blank4_C,"Guanine, 13C-15N2",56883
210322_Blk_Blank5_A,"Guanine, 13C-15N2",347566
210322_Blk_Blank5_B,"Guanine, 13C-15N2",3397091
210322_Blk_Blank5_C,"Guanine, 13C-15N2",29234
210322_Smp_Aloha_A,"Guanine, 13C-15N2",841362
210322_Smp_Aloha_B,"Guanine, 13C-15N2",23754354
210322_Smp_Aloha_C,"Guanine, 13C-15N2",21143312
210322_Smp_LW_A,"Guanine, 13C-15N2",9888111
210322_Smp_LW_B,"Guanine, 13C-15N2",20118286
210322_Smp_LW_C,"Guanine, 13C-15N2",20409930
210322_Smp_NP_A,"Guanine, 13C-15N2",9552080
210322_Smp_NP_B,"Guanine, 13C-15N2",18984308
210322_Smp_NP_C,"Guanine, 13C-15N2",17274694
210322_Smp_PS_A,"Guanine, 13C-15N2",15717853
210322_Smp_PS_B,"Guanine, 13C-15N2",22929398
210322_Smp_PS_C,"Guanine, 13C-15N2",19655652
210322_Blk_Blank1_A,"Arsenobetaine, 13C2",1394198400
210322_Blk_Blank1_B,"Arsenobetaine, 13C2",1303042944
210322_Blk_Blank1_C,"Arsenobetaine, 13C2",1043600256
210322_Blk_Blank2_A,"Arsenobetaine, 13C2",1331453568
210322_Blk_Blank2_B,"Arsenobetaine, 13C2",1332475008
210322_Blk_Blank2_C,"Arsenobetaine, 13C2",1255726336
210322_Blk_Blank3_A,"Arsenobetaine, 13C2",1373415424
210322_Blk_Blank3_B,"Arsenobetaine, 13C2",1144804480
210322_Blk_Blank3_C,"Arsenobetaine, 13C2",1366874240
210322_Blk_Blank4_A,"Arsenobetaine, 13C2",1362812032
210322_Blk_Blank4_B,"Arsenobetaine, 13C2",1335117056
210322_Blk_Blank4_C,"Arsenobetaine, 13C2",1353619840
210322_Blk_Blank5_A,"Arsenobetaine, 13C2",1261843072
210322_Blk_Blank5_B,"Arsenobetaine, 13C2",1064774720
210322_Blk_Blank5_C,"Arsenobetaine, 13C2",1349399680
210322_Smp_Aloha_A,"Arsenobetaine, 13C2",1338667136
210322_Smp_Aloha_B,"Arsenobetaine, 13C2",1285414144
210322_Smp_Aloha_C,"Arsenobetaine, 13C2",1299515392
210322_Smp_LW_A,"Arsenobetaine, 13C2",1242344320
210322_Smp_LW_B,"Arsenobetaine, 13C2",1349116928
210322_Smp_LW_C,"Arsenobetaine, 13C2",1290741376
210322_Smp_NP_A,"Arsenobetaine, 13C2",1340083328
210322_Smp_NP_B,"Arsenobetaine, 13C2",1339151232
210322_Smp_NP_C,"Arsenobetaine, 13C2",1376254464
210322_Smp_PS_A,"Arsenobetaine, 13C2",1293723136
210322_Smp_PS_B,"Arsenobetaine, 13C2",1314228736
210322_Smp_PS_C,"Arsenobetaine, 13C2",1265230720
210322_Blk_Blank1_A,"Homarine, D3",7037
210322_Blk_Blank1_B,"Homarine, D3",5644
210322_Blk_Blank1_C,"Homarine, D3",27922
210322_Blk_Blank2_A,"Homarine, D3",32764
210322_Blk_Blank2_B,"Homarine, D3",79324
210322_Blk_Blank2_C,"Homarine, D3",338741
210322_Blk_Blank3_A,"Homarine, D3",164799
210322_Blk_Blank3_B,"Homarine, D3",406893
210322_Blk_Blank3_C,"Homarine, D3",664760
210322_Blk_Blank4_A,"Homarine, D3",883861
210322_Blk_Blank4_B,"Homarine, D3",732403
210322_Blk_Blank4_C,"Homarine, D3",617876
210322_Blk_Blank5_A,"Homarine, D3",50339
210322_Blk_Blank5_B,"Homarine, D3",575341
210322_Blk_Blank5_C,"Homarine, D3",410695
210322_Smp_Aloha_A,"Homarine, D3",2514515456
210322_Smp_Aloha_B,"Homarine, D3",2362764800
210322_Smp_Aloha_C,"Homarine, D3",1961212032
210322_Smp_LW_A,"Homarine, D3",1233106048
210322_Smp_LW_B,"Homarine, D3",2153321728
210322_Smp_LW_C,"Homarine, D3",2284345088
210322_Smp_NP_A,"Homarine, D3",1449507840
210322_Smp_NP_B,"Homarine, D3",2362628864
210322_Smp_NP_C,"Homarine, D3",1983284224
210322_Smp_PS_A,"Homarine, D3",1934101248
210322_Smp_PS_B,"Homarine, D3",2524205312
210322_Smp_PS_C,"Homarine, D3",2085264000
210322_Blk_Blank6_A,"DL-Alanine, D3",NA
210322_Blk_Blank6_B,"DL-Alanine, D3",NA
210322_Blk_Blank6_C,"DL-Alanine, D3",NA
210322_Blk_Blank7_A,"DL-Alanine, D3",NA
210322_Blk_Blank7_B,"DL-Alanine, D3",5290
210322_Blk_Blank7_C,"DL-Alanine, D3",5305
210322_Smp_C_1mL_NS_A,"DL-Alanine, D3",11742884
210322_Smp_C_1mL_NS_B,"DL-Alanine, D3",16665214
210322_Smp_C_1mL_NS_C,"DL-Alanine, D3",14404947
210322_Smp_C_1mL_SAf_A,"DL-Alanine, D3",17312400
210322_Smp_C_1mL_SAf_B,"DL-Alanine, D3",21024214
210322_Smp_C_1mL_SAf_C,"DL-Alanine, D3",17408538
210322_Smp_C_1mL_SBe_A,"DL-Alanine, D3",22390052
210322_Smp_C_1mL_SBe_B,"DL-Alanine, D3",22359744
210322_Smp_C_1mL_SBe_C,"DL-Alanine, D3",22452416
210322_Blk_PPL_Blank_A,"DL-Alanine, D3",35565
210322_Blk_PPL_Blank_B,"DL-Alanine, D3",NA
210322_Blk_PPL_Blank_C,"DL-Alanine, D3",NA
210322_Smp_PPL_Aloha_A,"DL-Alanine, D3",5112
210322_Smp_PPL_Aloha_B,"DL-Alanine, D3",NA
210322_Smp_PPL_Aloha_C,"DL-Alanine, D3",NA
210322_Smp_PPL_PS_A,"DL-Alanine, D3",4624
210322_Smp_PPL_PS_B,"DL-Alanine, D3",NA
210322_Smp_PPL_PS_C,"DL-Alanine, D3",3356
210322_Blk_Blank6_A,"DL-Histidine, 15N",4277
210322_Blk_Blank6_B,"DL-Histidine, 15N",18886
