Compound,z,RFmax,RFmin,RF,RFratio
Propionylglycine,-1,43339884.8,43127340.8,43233612.8,0.9679680257436996
Pyridinedicarboxylic acid,1,14169358.4,14157731.2,14163544.8,1.0196744398312387
Resorcylic Acid,-1,84042366.66666667,75221706.66666667,79632036.66666667,0.9668947840752181
Riboflavin Monophosphate,1,19663406,16036276,17849841,0.9231596582701365
Ribose 5 phosphate,-1,3575108.25,3455707.25,3515407.75,0.9253543365258916
Salicylic Acid,-1,101796928,99130464,100463696,1.0259390745398291
Sarcosine,1,15313614,11467645,13390629.5,1.0483321303397886
Serine,1,6094497,4650389.5,5372443.25,0.9811529482897199
Shikimic Acid,-1,8402623.2,2421526.2,5412074.699999999,1.4052587007093362
Stachydrine hydrochloride,1,936084096,836339264,886211680,1.0010926740595971
Succinic Acid,-1,227099.25,68029.75,147564.5,142.55549055930328
Succinic semialdehyde,-1,11697752064,8276422656,9987087360,0.9926404796865205
Succinylglycine,1,3014703,2736380.5,2875541.75,0.9902057230220109
Sucrose,-1,10694287.2,9602350.4,10148318.8,0.9639883200316967
Sulfanilic Acid,-1,43247908,25001954,34124931,0.9795538367754624
Sulfoacetic Acid,-1,37635144,92104.75,18863624.375,0.49713141820751156
Sulfolactic Acid,-1,NA,NA,64812.8125,NA
Taurine,-1,35941908,179130.75,18060519.375,NA
Thiamine monophosphate,1,19741940,15060869,17401404.5,0.9351251941393006
Thiamine pyrophosphate,1,2452142,2317657,2384899.5,0.8788410792461117
Threonic acid,-1,74938200,69456120,72197160,0.9438385764636673
Threonine,1,20876932,16880300,18878616,1.001568784622032
Thymidine,-1,14005182,13040204,13522693,NA
Thymine,-1,19600186,18181064,18890625,0.8789822613384164
trans Hydroxyl proline,1,43487228,35034456,39260842,0.9694789694631654
Trehalose,-1,9893042,8750894,9321968,0.9812919953403186
Trigonelline,1,703822080,608870080,656346080,1.0190835383927095
Trimethyl-L-lysine,1,73184816,71579408,72382112,0.9065446502116976
Trimethylamine,1,1614566.4,1491820.2,1553193.2999999998,0.9679252660101494
Trimethylamine N-oxide,1,190509200,172008096,181258648,0.970251975400295
Trimethylammonium Propionate (TMAP),1,331754656,327772192,329763424,0.9107288643877229
Turicine,1,578688192,479126400,528907296,1.0600238886376303
Tyrosine,1,24386124,17257852,20821988,0.9694161047069881
UDP-glucosamine,-1,4987454.5,4770892.5,4879173.5,0.9890919735531671
UDP-glucose,-1,4928684,4239200,4583942,0.9524672113076591
Uracil,-1,18277428,17993894,18135661,0.9616800801526231
Uridine,-1,11951004,11838404,11894704,0.8800727890834203
Valine,1,16212251,11047882,13630066.5,1.0854395942792636
