MF,Fraction,mz,Retention_time,annotation,method,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C
1294_HILICNeg,HILICNeg,201.11296,2.282,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7509204,3599202,7736866,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311_HILICNeg,HILICNeg,202.97852,3.765,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21453462,20286790,28232120,NA,NA,NA,NA,NA,NA
1324_HILICNeg,HILICNeg,203.12862,2.265,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2576942,1379822,5169858,NA,NA,NA,NA,NA,NA,NA,NA,NA
1385_HILICNeg,HILICNeg,208.93465,10.685,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82163344,135480240,73997928
1388_HILICNeg,HILICNeg,209.04552,2.259,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1688670,1592184,1549666
1489_HILICNeg,HILICNeg,216.90939,14.898,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53289756,56851856,111368192,NA,NA,NA,NA,NA,NA,249951728,36333116,157980192
1494_HILICNeg,HILICNeg,217.07173,2.252,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7378224,4975334,3568086,NA,NA,NA,NA,NA,NA,4712016,3163520,3568606
1529_HILICNeg,HILICNeg,221.02365,10.46,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7869004,7697156,3534436,NA,NA,NA
1580_HILICNeg,HILICNeg,225.16095,2.231,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39494500,30884790,29362656,NA,NA,NA,NA,NA,NA
1580_HILICNeg,HILICNeg,225.16095,2.231,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2327294,2045792,2502106,NA,NA,NA,NA,NA,NA,88813952,82124880,87542104
1602_HILICNeg,HILICNeg,227.09276,2.239,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7187498,5520592,4997328,NA,NA,NA,NA,NA,NA,6525000,6502916,5695198
1626_HILICNeg,HILICNeg,227.99721,3.783,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240597280,242663536,158611776,NA,NA,NA
1647_HILICNeg,HILICNeg,229.07195,3.147,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7640212,9057368,7576152
1649_HILICNeg,HILICNeg,229.10834,2.251,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11570858,7172972,10056212,NA,NA,NA,NA,NA,NA,2475906,5688472,5222060
1665_HILICNeg,HILICNeg,231.08762,2.247,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913926,1948802,1272320,NA,NA,NA
1665_HILICNeg,HILICNeg,231.08762,2.247,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54898660,23795984,31351286,NA,NA,NA,NA,NA,NA,4312732,3248780,3994810
1684_HILICNeg,HILICNeg,233.10307,2.256,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2168820,1173554,3203856,NA,NA,NA,NA,NA,NA,NA,NA,NA
1753_HILICNeg,HILICNeg,241.07204,2.224,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5915310,5501976,7102162,NA,NA,NA,NA,NA,NA,4402456,6173438,4501704
1806_HILICNeg,HILICNeg,245.10338,2.239,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471448,943656,1261162,NA,NA,NA
1806_HILICNeg,HILICNeg,245.10338,2.239,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20395156,10691884,12188870,NA,NA,NA,NA,NA,NA,1580508,3824046,2308606
1809_HILICNeg,HILICNeg,245.97153,12.543,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1116776,1808790,27892022,NA,NA,NA
1814_HILICNeg,HILICNeg,246.05745,9.332,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111544512,155207872,244787152,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896_HILICNeg,HILICNeg,257.01276,11.381,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722266,2144294,4747128,NA,NA,NA,NA,NA,NA
1939_HILICNeg,HILICNeg,261.13498,2.22,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3133838,2603148,2810304,NA,NA,NA,NA,NA,NA,2091124,2211394,2274056
2001_HILICNeg,HILICNeg,271.08282,2.247,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5910506,6043520,6514612,NA,NA,NA,NA,NA,NA,4041054,5122642,5721122
2070_HILICNeg,HILICNeg,283.11938,2.247,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6696072,7262598,5966910,NA,NA,NA,NA,NA,NA,3861004,5307240,4242052
