Mass Feature,Analysis Fraction,m/z,Retention Time (min),CX-SPE - Aloha,CX-SPE - PS,PPL - Aloha,PPL - PS,Tentative Compound ID
165_HILICNeg,HILICNeg,96.95899,14.907,    ND,    ND,    ND,    ND,unknown
99_RP,RP,97.0653,1.83,    ND,    ND,    ND,8309700,unknown
102_RP,RP,97.06538,2.745,    ND,    ND,433430,    ND,unknown
146_HILICPos,HILICPos,97.08447,6.088,118720000,114510000,    ND,    ND,unknown
120_RP,RP,98.06049,0.886,    ND,    ND,414010,330630,unknown
121_RP,RP,98.06058,1.295,    ND,    ND,1145100,894310,unknown
134_RP,RP,98.91917,0.669,1843300,    ND,5941700,3018700,unknown
190_HILICNeg,HILICNeg,98.9548,14.908,    ND,    ND,561500000,296170000,unknown
140_RP,RP,99.04457,1.053,    ND,    ND,    ND,6997800,unknown
143_RP,RP,99.05581,0.75,    ND,    ND,1465800,    ND,unknown
144_RP,RP,99.05582,0.901,    ND,    ND,1465800,833550,unknown
167_RP,RP,100.07622,1.25,    ND,    ND,5303800,4682800,unknown
169_RP,RP,100.1125,2.223,19879000,    ND,30082000,    ND,unknown
190_RP,RP,101.06019,1.386,    ND,    ND,3132200,5007100,unknown
197_RP,RP,101.10776,0.97,    ND,    ND,589790,570460,unknown
183_HILICPos,HILICPos,103.03942,2.256,    ND,    ND,1476600,    ND,unknown
226_RP,RP,103.06188,0.932,    ND,4855500,    ND,1802600,unknown
227_HILICNeg,HILICNeg,104.03423,11.304,10149000,    ND,    ND,    ND,unknown
265_RP,RP,105.0704,3.246,    ND,    ND,    ND,1655600,unknown
207_HILICPos,HILICPos,106.08674,7.443,19715000,    ND,    ND,    ND,unknown
235_HILICNeg,HILICNeg,106.97982,2.626,1903800,5030000,    ND,    ND,unknown
286_RP,RP,107.07063,2.958,    ND,    ND,    ND,8103400,unknown
299_RP,RP,107.96709,0.696,    ND,    ND,    ND,11731000,unknown
301_RP,RP,108.08118,0.96,    ND,    ND,    ND,83444000,unknown
307_RP,RP,108.51314,0.923,    ND,    ND,    ND, 64937,unknown
321_RP,RP,109.0652,2.002,    ND,    ND,    ND,4433500,unknown
322_RP,RP,109.06522,5.785,    ND,    ND,    ND,6052200,unknown
323_RP,RP,109.06525,1.414,    ND,    ND,    ND,2896800,unknown
324_RP,RP,109.06528,2.747,    ND,    ND,    ND,2398800,unknown
325_RP,RP,109.0653,1.487,    ND,    ND,    ND,1985800,unknown
326_RP,RP,109.07639,0.978,    ND,    ND,    ND,6387500,unknown
330_RP,RP,109.1016,4.553,    ND,    ND,4436800,13549000,unknown
331_RP,RP,109.10162,4.742,    ND,    ND,4595400,12199000,unknown
334_RP,RP,109.10165,6.067,    ND,    ND,    ND,1233200,unknown
337_RP,RP,109.10171,2.3,    ND,    ND,    ND,1705200,unknown
222_HILICPos,HILICPos,110.06036,4.106,    ND,    ND,23606000,18971000,unknown
347_RP,RP,110.06045,0.978,    ND,    ND,    ND,2139100,unknown
360_RP,RP,111.03946,6.39,    ND,    ND,29476000,    ND,unknown
389_RP,RP,112.05089,0.748,    ND,1662100,    ND,    ND,unknown
390_RP,RP,112.05091,0.807,    ND,    ND,    ND,607850,unknown
392_RP,RP,112.07607,1.872,    ND,    ND,1470800,    ND,unknown
394_RP,RP,112.07612,1.714,    ND,    ND,2977100,    ND,unknown
397_RP,RP,112.89602,0.665,3609100,    ND,1407900,661890,unknown
404_RP,RP,113.06004,1.4,    ND,    ND,5374500,9122100,unknown
409_RP,RP,113.06016,7.805,    ND,    ND,915970,2309300,unknown
412_RP,RP,113.09648,3.159,    ND,    ND,    ND,4942600,unknown
429_RP,RP,114.09167,1.063,    ND,    ND,    ND,1404300,unknown
434_RP,RP,114.12815,1.141,    ND,    ND,240070,163310,unknown
440_RP,RP,114.89308,0.667,    ND,    ND,549230,274650,unknown
447_RP,RP,115.07578,4.288,    ND,    ND,    ND,1347200,unknown
270_HILICPos,HILICPos,116.05158,7.381,    ND,3236600,    ND,    ND,unknown
466_RP,RP,116.07083,0.891,    ND,    ND,1954000,    ND,unknown
467_RP,RP,116.07086,0.718,31434000,    ND,    ND,    ND,unknown
271_HILICPos,HILICPos,116.07097,9.26,58910000,    ND,    ND,    ND,L-Proline
471_RP,RP,116.10728,2.359,    ND,    ND,    ND,15458000,unknown
317_HILICNeg,HILICNeg,117.0185,12.771,    ND,    ND,    ND,32950000,unknown
485_RP,RP,117.04867,0.785,16999000,22071000,    ND,    ND,unknown
280_HILICPos,HILICPos,117.04869,7.384,24538000,34530000,    ND,    ND,"Cytosine, 13C2, 15N3"
492_RP,RP,117.10253,0.883,    ND,9722800,    ND,    ND,unknown
493_RP,RP,117.10255,1.44,    ND,25188000,1092200,    ND,unknown
496_RP,RP,117.51823,0.952,    ND,    ND,    ND, 35849,unknown
295_HILICPos,HILICPos,118.08646,7.761,360170000,580080000,    ND,    ND,Glycine betaine
530_RP,RP,118.08654,0.72,101260000,173120000,    ND,    ND,unknown
332_HILICNeg,HILICNeg,118.94109,14.909,    ND,    ND,170450000,163770000,unknown
308_HILICPos,HILICPos,120.06575,10.13,12000000,    ND,    ND,    ND,unknown
562_RP,RP,120.08103,1.133,6382500,5973800,18007000,18398000,unknown
310_HILICPos,HILICPos,120.08106,5.299,    ND,7558700,30449000,23885000,unknown
345_HILICNeg,HILICNeg,120.93687,14.923,    ND,    ND,4559400,6420300,unknown
572_RP,RP,121.03194,0.718,5176000,5987200,    ND,    ND,unknown
313_HILICPos,HILICPos,121.03201,8.843,19067000,20457000,    ND,    ND,Dimethylsulfonioacetate
573_RP,RP,121.03988,1.026,40043000,    ND,32895000,12326000,unknown
355_HILICNeg,HILICNeg,121.09911,9.342,2747500,2895300,    ND,    ND,unknown
583_RP,RP,121.10149,4.287,    ND,    ND,    ND,1119600,unknown
586_RP,RP,121.10153,4.652,    ND,    ND,    ND,955580,unknown
321_HILICPos,HILICPos,121.10229,9.334,4114800,4002000,    ND,    ND,unknown
590_RP,RP,121.55704,2.958,    ND,    ND,    ND, 68702,unknown
358_HILICNeg,HILICNeg,121.95437,2.91,    ND,80926000,    ND,    ND,unknown
329_HILICPos,HILICPos,122.10855,9.33,21765000,21950000,    ND,    ND,unknown
617_RP,RP,123.04426,3.231,    ND,    ND,    ND,11372000,unknown
620_RP,RP,123.08071,0.92,    ND,    ND,    ND,4812000,unknown
337_HILICPos,HILICPos,123.09706,7.762,39604000,38837000,    ND,    ND,unknown
624_RP,RP,123.11472,0.756,45482000,41975000,    ND,    ND,unknown
338_HILICPos,HILICPos,123.11476,9.336,33790000,33345000,    ND,    ND,"DL-Proline, 2H7"
627_RP,RP,123.11711,6.088,    ND,    ND,886120,3108900,unknown
635_RP,RP,123.55457,1.572,    ND,394870,    ND,    ND,unknown
382_HILICNeg,HILICNeg,123.97011,7.709,21321000,15758000,    ND,    ND,unknown
644_RP,RP,124.03944,0.907,    ND,    ND,    ND,3745600,unknown
646_RP,RP,124.07589,1.252,    ND,    ND,1531600,    ND,unknown
647_RP,RP,124.0759,1.004,    ND,    ND,3851100,    ND,unknown
655_RP,RP,124.10027,0.798,265000000,312990000,    ND,    ND,unknown
349_HILICPos,HILICPos,124.1003,7.663,1144900000,1134800000,    ND,    ND,unknown
661_RP,RP,124.1123,3.896,    ND,    ND,591390,    ND,unknown
386_HILICNeg,HILICNeg,124.12096,8.541,6482800,6196900,    ND,    ND,unknown
677_RP,RP,125.04285,0.828,    ND,    ND,5124600,    ND,unknown
678_RP,RP,125.05991,2.553,    ND,    ND,    ND,3694300,unknown
679_RP,RP,125.05992,1.131,    ND,    ND,    ND,3220400,unknown
682_RP,RP,125.05997,3.071,    ND,    ND,    ND,4204800,unknown
687_RP,RP,125.09635,4.488,    ND,    ND,    ND,2627700,unknown
693_RP,RP,125.13046,0.748,3520700,4218600,    ND,    ND,unknown
711_RP,RP,126.06631,0.899,    ND,    ND,    ND,338780,unknown
717_RP,RP,126.09158,2.642,    ND,    ND,730120,1053400,unknown
721_RP,RP,126.13668,0.748,29411000,29916000,    ND,    ND,unknown
365_HILICPos,HILICPos,126.13672,8.56,21102000,21780000,    ND,    ND,"DL-Valine, 2H8"
403_HILICNeg,HILICNeg,126.90411,4.953,59344000,52145000,1161600000,86547000,unknown
407_HILICNeg,HILICNeg,126.90416,2.244,3698900,    ND,132910000,5024800,unknown
732_RP,RP,127.0214,1.082,    ND,    ND,    ND,966900,unknown
411_HILICNeg,HILICNeg,127.03918,2.258,    ND,    ND,3818700,5966400,unknown
415_HILICNeg,HILICNeg,127.07554,2.255,    ND,    ND,    ND,15673000,unknown
738_RP,RP,127.07568,1.385,    ND,    ND,4140200,7543500,unknown
740_RP,RP,127.11197,4.94,    ND,    ND,611960,1577800,unknown
423_HILICNeg,HILICNeg,128.03445,7.333,    ND,    ND,20908000,    ND,5-Oxoproline
758_RP,RP,128.07082,1.095,    ND,    ND,4572600,5435900,unknown
382_HILICPos,HILICPos,128.10722,2.193,    ND,    ND,4187400,3511500,unknown
428_HILICNeg,HILICNeg,128.94101,3.548,3599300,    ND,    ND,    ND,unknown
432_HILICNeg,HILICNeg,129.01854,10.535,    ND,    ND,    ND,36460000,unknown
780_RP,RP,129.05481,1.399,    ND,    ND,1678800,2751600,unknown
782_RP,RP,129.06607,0.826,    ND,    ND,2849700,2086200,unknown
807_RP,RP,130.04997,0.752,8788100,    ND,    ND,    ND,unknown
811_RP,RP,130.08652,0.949,    ND,    ND,    ND,2547500,unknown
816_RP,RP,130.12291,3.387,    ND,    ND,    ND,6757800,unknown
817_RP,RP,130.15913,1.807,    ND,    ND,306390000,    ND,unknown
826_RP,RP,130.56223,2.959,    ND,    ND,    ND,491530,unknown
866_RP,RP,132.10196,0.73,4118800,65202000,    ND,    ND,unknown
868_RP,RP,132.10201,0.897,24931000,9333900,34311000,10539000,unknown
425_HILICPos,HILICPos,132.10202,9.765,12705000,127340000,    ND,    ND,beta-Alaninebetaine
869_RP,RP,132.10202,1.077,    ND,2084000,    ND,1606200,unknown
870_RP,RP,132.10204,0.828,19054000,    ND,16592000,    ND,unknown
426_HILICPos,HILICPos,132.10205,7.245,7975500,    ND,10444000,2530600,unknown
427_HILICPos,HILICPos,132.10205,6.841,29849000,    ND,40472000,15787000,unknown
873_RP,RP,132.10216,1.158,    ND,    ND,    ND,997940,unknown
878_RP,RP,132.88942,0.654,    ND, 58246,649540,465060,unknown
430_HILICPos,HILICPos,133.02791,14.91,    ND,    ND,53368000,17007000,unknown
880_RP,RP,133.02863,2.351,    ND,    ND,    ND,243410,unknown
891_RP,RP,133.10138,4.488,    ND,    ND,    ND,1696100,unknown
440_HILICPos,HILICPos,134.06007,2.259,    ND,    ND,4659900,4379800,unknown
909_RP,RP,134.0714,4.711,    ND,    ND,    ND,1052600,unknown
910_RP,RP,134.07141,4.815,    ND,    ND,    ND,880580,unknown
917_RP,RP,134.09042,8.956,    ND,    ND,711400,    ND,unknown
921_RP,RP,134.88666,0.664,    ND,    ND,248080,120150,unknown
485_HILICNeg,HILICNeg,134.91522,14.896,    ND,    ND,    ND,4232100,unknown
928_RP,RP,135.04427,3.543,    ND,    ND,    ND,6690500,unknown
931_RP,RP,135.04744,0.738,50866000,39253000,    ND,    ND,unknown
449_HILICPos,HILICPos,135.0475,9.821,109100000,72429000,    ND,    ND,unknown
946_RP,RP,135.10164,1.224,    ND,    ND,    ND,20149000,unknown
958_RP,RP,136.00104,0.65,    ND,    ND,2750400,2098400,unknown
454_HILICPos,HILICPos,136.0507,5.776,    ND,    ND,    ND,4653900,unknown
966_RP,RP,136.06186,1.027,    ND,    ND,    ND,1590900,unknown
972_RP,RP,136.07343,1.63,    ND,    ND,2126100,1417300,unknown
973_RP,RP,136.11224,1.689,    ND,    ND,    ND,21534000,unknown
980_RP,RP,136.99428,0.784,10509000,6412300,    ND,    ND,unknown
463_HILICPos,HILICPos,136.99437,5.593,24015000,15179000,    ND,    ND,unknown
466_HILICPos,HILICPos,137.03781,10.91,1142400,1259700,    ND,    ND,unknown
983_RP,RP,137.04324,0.713,2632600,1544300,    ND,    ND,unknown
984_RP,RP,137.04585,1.081,    ND,    ND,2195600,2432800,unknown
467_HILICPos,HILICPos,137.04587,7.811,    ND,    ND,    ND,2331800,unknown
468_HILICPos,HILICPos,137.04588,6.856,    ND,    ND,5300700,4483100,Hypoxanthine
469_HILICPos,HILICPos,137.05972,2.239,    ND,    ND,2286600,2575200,unknown
988_RP,RP,137.05983,5.106,    ND,    ND,    ND,783810,unknown
995_RP,RP,137.09625,4.07,    ND,    ND,    ND,1723900,unknown
1001_RP,RP,137.13274,3.043,    ND,    ND,    ND,264290,unknown
475_HILICPos,HILICPos,137.98322,14.915,    ND,    ND,22479000,12912000,unknown
528_HILICNeg,HILICNeg,137.98572,7.873,    ND,29838000,    ND,    ND,unknown
1016_RP,RP,138.05498,0.795,39392000,14475000,2014400,998720,unknown
477_HILICPos,HILICPos,138.05502,8.268,74163000,    ND,5550100,    ND,Trigonelline
1018_RP,RP,138.05504,0.893,30183000,18492000,3110100,1962900,unknown
478_HILICPos,HILICPos,138.05504,6.039,201970000,122200000,15037000,9271000,Homarine
1022_RP,RP,138.08371,5.679,    ND,    ND,700450,    ND,unknown
1032_RP,RP,138.1366,0.763,756280,685930,    ND,    ND,unknown
1035_RP,RP,138.5547,1.379,    ND,    ND,    ND, 77209,unknown
1036_RP,RP,138.56583,1.083,    ND,    ND,549170,    ND,unknown
1037_RP,RP,138.90631,0.662,3892400,2054500,35016000,18225000,unknown
1038_RP,RP,138.97353,0.774,6774700,4732700,    ND,    ND,unknown
1048_RP,RP,139.05028,0.913,11285000,    ND,4250400,    ND,unknown
1049_RP,RP,139.05029,1.026,27190000,    ND,21328000,8183700,unknown
1053_RP,RP,139.11182,4.803,    ND,    ND,    ND,839880,unknown
1054_RP,RP,139.11182,4.648,    ND,    ND,    ND,1300200,unknown
1058_RP,RP,139.11186,4.291,    ND,    ND,    ND,1621400,unknown
1063_RP,RP,139.11192,2.658,    ND,    ND,    ND,1197100,unknown
1064_RP,RP,139.11194,6.293,    ND,    ND,    ND,358200,unknown
1065_RP,RP,139.11194,4.855,    ND,    ND,    ND,876870,unknown
1067_RP,RP,139.14281,0.764,4151900,4077500,    ND,    ND,unknown
556_HILICNeg,HILICNeg,139.96495,2.909,    ND,    ND,    ND,    ND,unknown
559_HILICNeg,HILICNeg,139.9651,7.987,206870000,127070000,    ND,    ND,unknown
494_HILICPos,HILICPos,140.03416000000001,2.253,    ND,    ND,1260500,    ND,unknown
1088_RP,RP,140.03429,1.315,    ND,    ND,    ND,568950,unknown
1091_RP,RP,140.0546,2.975,    ND,    ND,    ND,1845300,unknown
1093_RP,RP,140.08194,0.799,    ND,    ND,1097300,    ND,unknown
501_HILICPos,HILICPos,140.08194,2.923,    ND,    ND,6166100,6208200,unknown
1101_RP,RP,140.10716,0.896,    ND,    ND,944770,    ND,unknown
1105_RP,RP,140.53389,0.928,    ND,    ND,    ND, 74578,unknown
1110_RP,RP,140.6395,0.875,417420,453720,    ND,    ND,unknown
1112_RP,RP,140.90334,0.662,2534800,1336000,23252000,12326000,unknown
1115_RP,RP,140.98596,0.882,413650,485190,    ND,    ND,unknown
581_HILICNeg,HILICNeg,141.05489,2.258,    ND,    ND,    ND,3407000,unknown
514_HILICPos,HILICPos,141.07368,6.038,    ND,    ND,    ND,    ND,unknown
1141_RP,RP,141.07373,0.782,399450000,360590000,70550000,    ND,unknown
1142_RP,RP,141.07375,0.876,767770000,663150000,78729000,    ND,unknown
1145_RP,RP,141.09113,3.1,    ND,    ND,    ND,16340000,unknown
1147_RP,RP,141.10231,0.835,    ND,    ND,    ND,651310,unknown
1150_RP,RP,141.1275,6.092,    ND,    ND,    ND,961390,unknown
1151_RP,RP,141.1275,6.496,    ND,    ND,    ND,1022300,unknown
1155_RP,RP,141.51802,2.039,    ND,    ND,    ND, 87180,unknown
585_HILICNeg,HILICNeg,141.96075,2.91,    ND,266690000,    ND,    ND,unknown
1170_RP,RP,142.07013,2.958,    ND,    ND,    ND,492280,unknown
1171_RP,RP,142.08633,0.959,301210000,183290000,    ND,    ND,unknown
1172_RP,RP,142.08636,1.424,    ND,    ND,3231400,    ND,unknown
1181_RP,RP,142.12274,3.896,    ND,    ND,    ND,1405100,unknown
1183_RP,RP,142.52582,0.895, 48346, 86402,    ND,    ND,unknown
1187_RP,RP,142.90045,0.669,382280,209570,3453000,1857000,unknown
1188_RP,RP,142.93869,0.715,    ND,    ND,5797800,10559000,unknown
594_HILICNeg,HILICNeg,143.07047,2.248,    ND,    ND,    ND,48890000,unknown
1202_RP,RP,143.08148,0.735,11874000,12827000,    ND,    ND,unknown
1203_RP,RP,143.1067,3.127,    ND,    ND,1318400,1676400,unknown
1208_RP,RP,143.1068,4.461,    ND,    ND,    ND,1027600,unknown
1210_RP,RP,143.10686,3.554,    ND,    ND,    ND,896910,unknown
1212_RP,RP,143.11786,0.895,    ND,    ND,1079100,765990,unknown
540_HILICPos,HILICPos,144.04788,2.175,    ND,    ND,291210,591890,unknown
1235_RP,RP,144.10191,0.791,5342900,    ND,1120000,560190,unknown
1236_RP,RP,144.10196,0.957,    ND,    ND,1221900,    ND,unknown
543_HILICPos,HILICPos,144.10199,7.099,15574000,    ND,    ND,    ND,Proline betaine
544_HILICPos,HILICPos,144.10207,9.929,14276000,    ND,    ND,    ND,unknown
545_HILICPos,HILICPos,144.10208,2.281,    ND,    ND,2112700,    ND,unknown
1248_RP,RP,144.54143,1.797,    ND,    ND,    ND,119720,unknown
1251_RP,RP,144.60527,0.881,    ND,172590,    ND,1381900,unknown
1280_RP,RP,145.56245,2.033,    ND,    ND, 67198,    ND,unknown
1291_RP,RP,146.06007,3.911,    ND,    ND,1096600,3802400,unknown
1293_RP,RP,146.06013,5.508,    ND,    ND,    ND,1256200,unknown
1296_RP,RP,146.08122,1.098,    ND,    ND,2151500,2582900,unknown
1298_RP,RP,146.11752,0.775,1882600,4870500,455730,1336800,unknown
567_HILICPos,HILICPos,146.1176,10.085,2865900,5166900,    ND,    ND,(3-Carboxypropyl)trimethylammonium
1316_RP,RP,147.04408,3.17,    ND,    ND,    ND,888450,unknown
1327_RP,RP,147.06242,4.743,    ND,    ND,    ND,1824300,unknown
1328_RP,RP,147.07637,0.701,4379000,3767600,    ND,    ND,unknown
577_HILICPos,HILICPos,147.08055,2.247,    ND,    ND,2517200,    ND,unknown
1333_RP,RP,147.10165,1.56,    ND,    ND,848490,1436900,unknown
1334_RP,RP,147.11287,0.866,    ND,    ND,    ND,193750,unknown
1356_RP,RP,148.05202,3.566,    ND,    ND,409170,773300,unknown
1358_RP,RP,148.06041,0.708,8625000,3786700,958100,    ND,unknown
579_HILICPos,HILICPos,148.0605,11.82,14288000,    ND,    ND,    ND,L-Glutamic acid
1364_RP,RP,148.92566,0.668,    ND,    ND,2728100,1362900,unknown
1392_RP,RP,149.09625,4.471,    ND,    ND,    ND,3386800,unknown
1400_RP,RP,149.55186,3.064,    ND,    ND,    ND,604410,unknown
1417_RP,RP,150.07747,0.996,    ND,    ND,1170500,    ND,unknown
1424_RP,RP,150.11261,0.71,    ND,15100000,    ND,    ND,unknown
1432_RP,RP,150.93228,0.669,    ND,    ND,756250,392980,unknown
1445_RP,RP,151.06154,0.703,2164900,    ND,    ND,    ND,unknown
1450_RP,RP,151.07553,2.641,    ND,    ND,    ND,3129000,unknown
1457_RP,RP,151.11189,5.785,    ND,    ND,    ND,6082100,unknown
1458_RP,RP,151.11191,4.819,    ND,    ND,    ND,1119300,unknown
1463_RP,RP,151.14409,0.735,93954000,    ND,    ND,    ND,unknown
1465_RP,RP,151.14835,7.372,    ND,    ND,    ND,523360,unknown
1477_RP,RP,152.02908,0.676,    ND,    ND,133830000,91692000,unknown
662_HILICNeg,HILICNeg,152.03471,3.021,    ND,    ND,4588000,    ND,unknown
615_HILICPos,HILICPos,152.03784,8.736,    ND,4113200,    ND,3192200,unknown
618_HILICPos,HILICPos,152.05676,9.443,4950400,5564800,2747200,2383900,unknown
1479_RP,RP,152.05679,0.931,    ND,    ND,369280,1084600,unknown
619_HILICPos,HILICPos,152.07068,2.256,    ND,    ND,    ND,17373000,unknown
1481_RP,RP,152.07076,1.716,    ND,    ND,    ND,2936100,unknown
1488_RP,RP,152.10709,5.071,    ND,    ND,1137500,    ND,unknown
676_HILICNeg,HILICNeg,153.0549,2.249,    ND,    ND,    ND,3126200,unknown
1528_RP,RP,153.07394,0.826,    ND,    ND,1565000,3348800,unknown
1533_RP,RP,153.09113,2.908,    ND,    ND,    ND,18759000,unknown
1536_RP,RP,153.09122,1.931,    ND,    ND,    ND,3710800,unknown
1541_RP,RP,153.12753,5.937,    ND,    ND,    ND,864360,unknown
1543_RP,RP,153.12761,6.508,    ND,    ND,    ND,413760,unknown
1545_RP,RP,153.12767,7.22,    ND,    ND,    ND,359850,unknown
682_HILICNeg,HILICNeg,153.98087,2.259,    ND,60285000,    ND,    ND,unknown
1557_RP,RP,154.03215,1.489,    ND,    ND,4614800,    ND,unknown
1562_RP,RP,154.07021,6.092,    ND,    ND,    ND,1305300,unknown
1567_RP,RP,154.12262,5.451,    ND,    ND,198350,    ND,unknown
1579_RP,RP,154.54953,1.413,    ND,    ND,125430,212280,unknown
1583_RP,RP,154.56779,3.896,    ND,    ND, 80242, 79599,unknown
1585_RP,RP,154.8802,0.664,    ND,    ND,797220,420550,unknown
1595_RP,RP,155.05252,5.13,    ND,    ND,2434600,2323000,unknown
1597_RP,RP,155.05405,0.923,32116000,23862000,    ND,    ND,unknown
652_HILICPos,HILICPos,155.05418,8.741,52102000,39732000,    ND,    ND,"Guanine, 13C, 15N2"
1598_RP,RP,155.07031,2.003,    ND,    ND,3081900,10001000,unknown
1601_RP,RP,155.07048,1.459,    ND,    ND,2627700,5543900,unknown
1602_RP,RP,155.08157,0.944,5389800,4095300,1059900,2034100,unknown
1606_RP,RP,155.10677,4.931,    ND,    ND,    ND,9927700,unknown
1607_RP,RP,155.10677,4.555,    ND,    ND,3003700,9308800,unknown
1609_RP,RP,155.10678,4.755,    ND,    ND,2429700,5359300,unknown
1612_RP,RP,155.10686,5.536,    ND,    ND,    ND,1049300,unknown
719_HILICNeg,HILICNeg,155.98793,3.783,    ND,5075600,    ND,    ND,unknown
1634_RP,RP,156.06557,1.048,    ND,    ND,688540,1359200,unknown
1635_RP,RP,156.07675,0.689,1765800,2289100,    ND,    ND,unknown
1637_RP,RP,156.10196,2.284,    ND,    ND,358720,396710,unknown
1638_RP,RP,156.10197,0.937,    ND,    ND,825440,    ND,unknown
666_HILICPos,HILICPos,156.10214,2.235,    ND,    ND,7549700,4360500,unknown
1655_RP,RP,156.87729,0.665,    ND,    ND,493550,233850,unknown
677_HILICPos,HILICPos,157.07387,10.665,34337000,64509000,    ND,    ND,"DL-Histidine, 15N"
1676_RP,RP,157.0836,1.223,    ND,    ND,    ND,6250200,unknown
1677_RP,RP,157.08363,1.078,    ND,    ND,3194300,3324400,unknown
1678_RP,RP,157.08607,3.565,    ND,    ND,    ND,1789900,unknown
1679_RP,RP,157.08609,1.916,    ND,    ND,    ND,14509000,unknown
1680_RP,RP,157.12242,4.628,    ND,    ND,893680,943640,unknown
1681_RP,RP,157.12242,4.803,    ND,    ND,    ND,638620,unknown
1682_RP,RP,157.12245,6.357,    ND,    ND,    ND,686860,unknown
1684_RP,RP,157.1225,4.875,    ND,    ND,    ND,353650,unknown
1725_RP,RP,158.11757,0.931,    ND,    ND,777110,697140,unknown
1728_RP,RP,158.11761,1.636,    ND,    ND,369370,    ND,unknown
688_HILICPos,HILICPos,158.11777,2.232,    ND,    ND,1459100,    ND,unknown
1761_RP,RP,159.06532,1.181,    ND,    ND,    ND,5189700,unknown
1763_RP,RP,159.07639,0.795,    ND,7588600,    ND,    ND,unknown
697_HILICPos,HILICPos,159.07649,11.318,    ND,9205100,    ND,    ND,5-Hydroxyectoine
1768_RP,RP,159.10175,3.101,    ND,    ND,    ND,9815300,unknown
763_HILICNeg,HILICNeg,159.10207,2.252,    ND,    ND,7244900,9728000,unknown
1769_RP,RP,159.11287,0.91,    ND,    ND,250080,321840,unknown
1770_RP,RP,159.11288,1.955,    ND,    ND,    ND,1179400,unknown
1771_RP,RP,159.11296,1.012,    ND,    ND,    ND,742430,unknown
1772_RP,RP,159.11696,4.457,    ND,    ND,    ND,302830,unknown
701_HILICPos,HILICPos,160.07596,2.189,    ND,    ND,1712400,4432900,unknown
1803_RP,RP,160.09677,0.784,5779700,    ND,2676900,    ND,unknown
703_HILICPos,HILICPos,160.09688,8.873,10926000,    ND,    ND,    ND,Betonicine
703_HILICPos,HILICPos,160.09688,8.873,10926000,    ND,    ND,    ND,Turicine
1806_RP,RP,160.13326,2.388,    ND,    ND,    ND,253730,unknown
1807_RP,RP,160.13326,1.421,    ND,    ND,    ND,127210,unknown
1809_RP,RP,160.13336,0.915,    ND,3411900,    ND,1951800,unknown
706_HILICPos,HILICPos,160.13336,10.07,    ND,7307600,    ND,4178500,unknown
1812_RP,RP,160.56786,3.6,    ND,    ND,    ND,255350,unknown
1825_RP,RP,161.06465,1.64,    ND,    ND,1548400,    ND,unknown
1830_RP,RP,161.09613,5.233,    ND,    ND,    ND,2631200,unknown
1839_RP,RP,161.56508,5.23,    ND,    ND,    ND,240930,unknown
1844_RP,RP,161.98318,0.68,    ND,672660,    ND,    ND,unknown
1855_RP,RP,162.0676,6.294,    ND,    ND,225390,446070,unknown
1862_RP,RP,162.0914,0.948,    ND,    ND,843390,541030,unknown
